ua,ind,year,emp
1,AA111,1976,114
1,AA111,1981,126
1,AA111,1986,162
1,AA111,1991,147
1,AA111,1996,204
1,AA111,2001,171
1,AA111,2006,165
1,AA111,2013,123
1,AA121,1976,129
1,AA121,1981,132
1,AA121,1986,138
1,AA121,1991,126
1,AA121,1996,165
1,AA121,2001,153
1,AA121,2006,165
1,AA121,2013,114
1,AA131,1976,84
1,AA131,1981,69
1,AA131,1986,63
1,AA131,1991,144
1,AA131,1996,123
1,AA131,2001,114
1,AA131,2006,87
1,AA131,2013,66
1,AA141,1976,15
1,AA141,1981,24
1,AA141,1986,27
1,AA141,1991,15
1,AA141,1996,36
1,AA141,2001,24
1,AA141,2006,24
1,AA141,2013,27
1,AA211,1976,48
1,AA211,1981,84
1,AA211,1986,81
1,AA211,1991,60
1,AA211,1996,108
1,AA211,2001,120
1,AA211,2006,105
1,AA211,2013,126
1,AA310,1976,24
1,AA310,1981,72
1,AA310,1986,33
1,AA310,1991,45
1,AA310,1996,33
1,AA310,2001,33
1,AA310,2006,33
1,AA310,2013,18
1,AA320,1976,135
1,AA320,1981,138
1,AA320,1986,114
1,AA320,1991,99
1,AA320,1996,108
1,AA320,2001,126
1,AA320,2006,126
1,AA320,2013,105
1,BB11_,1976,48
1,BB11_,1981,45
1,BB11_,1986,69
1,BB11_,1991,60
1,BB11_,1996,57
1,BB11_,2001,42
1,BB11_,2006,30
1,BB11_,2013,48
1,CC1_,1976,222
1,CC1_,1981,261
1,CC1_,1986,306
1,CC1_,1991,342
1,CC1_,1996,159
1,CC1_,2001,72
1,CC1_,2006,63
1,CC1_,2013,42
1,CC131,1976,210
1,CC131,1981,252
1,CC131,1986,204
1,CC131,1991,144
1,CC131,1996,120
1,CC131,2001,162
1,CC131,2006,114
1,CC131,2013,126
1,CC141,1976,81
1,CC141,1981,111
1,CC141,1986,132
1,CC141,1991,138
1,CC141,1996,129
1,CC141,2001,150
1,CC141,2006,123
1,CC141,2013,84
1,CC151,1976,48
1,CC151,1981,48
1,CC151,1986,18
1,CC151,1991,9
1,CC151,1996,12
1,CC151,2001,6
1,CC151,2006,18
1,CC151,2013,9
1,CC211,1976,36
1,CC211,1981,36
1,CC211,1986,42
1,CC211,1991,42
1,CC211,1996,39
1,CC211,2001,51
1,CC211,2006,51
1,CC211,2013,48
1,CC212,1976,270
1,CC212,1981,279
1,CC212,1986,249
1,CC212,1991,222
1,CC212,1996,204
1,CC212,2001,66
1,CC212,2006,39
1,CC212,2013,27
1,CC311,1976,138
1,CC311,1981,135
1,CC311,1986,186
1,CC311,1991,213
1,CC311,1996,246
1,CC311,2001,282
1,CC311,2006,453
1,CC311,2013,279
1,CC321,1976,3
1,CC321,1981,12
1,CC321,1986,3
1,CC321,1991,3
1,CC321,1996,6
1,CC321,2001,9
1,CC321,2006,12
1,CC321,2013,9
1,CC411,1976,42
1,CC411,1981,195
1,CC411,1986,366
1,CC411,1991,72
1,CC411,1996,42
1,CC411,2001,39
1,CC411,2006,66
1,CC411,2013,51
1,CC5_,1976,270
1,CC5_,1981,324
1,CC5_,1986,891
1,CC5_,1991,303
1,CC5_,1996,294
1,CC5_,2001,171
1,CC5_,2006,159
1,CC5_,2013,189
1,CC611,1976,612
1,CC611,1981,549
1,CC611,1986,510
1,CC611,1991,228
1,CC611,1996,168
1,CC611,2001,150
1,CC611,2006,180
1,CC611,2013,144
1,CC711,1976,12
1,CC711,1981,15
1,CC711,1986,0
1,CC711,1991,3
1,CC711,1996,18
1,CC711,2001,9
1,CC711,2006,9
1,CC711,2013,3
1,CC721,1976,165
1,CC721,1981,201
1,CC721,1986,333
1,CC721,1991,174
1,CC721,1996,270
1,CC721,2001,285
1,CC721,2006,279
1,CC721,2013,279
1,CC811,1976,309
1,CC811,1981,348
1,CC811,1986,291
1,CC811,1991,156
1,CC811,1996,300
1,CC811,2001,366
1,CC811,2006,303
1,CC811,2013,171
1,CC821,1976,51
1,CC821,1981,33
1,CC821,1986,36
1,CC821,1991,51
1,CC821,1996,54
1,CC821,2001,66
1,CC821,2006,36
1,CC821,2013,33
1,CC822,1976,189
1,CC822,1981,144
1,CC822,1986,192
1,CC822,1991,147
1,CC822,1996,129
1,CC822,2001,105
1,CC822,2006,150
1,CC822,2013,138
1,CC91_,1976,96
1,CC91_,1981,81
1,CC91_,1986,84
1,CC91_,1991,114
1,CC91_,1996,114
1,CC91_,2001,111
1,CC91_,2006,72
1,CC91_,2013,57
1,DD1_,1976,186
1,DD1_,1981,192
1,DD1_,1986,273
1,DD1_,1991,165
1,DD1_,1996,165
1,DD1_,2001,150
1,DD1_,2006,207
1,DD1_,2013,192
1,EE1_,1976,762
1,EE1_,1981,1044
1,EE1_,1986,1986
1,EE1_,1991,798
1,EE1_,1996,885
1,EE1_,2001,1026
1,EE1_,2006,1377
1,EE1_,2013,1149
1,EE110,1976,738
1,EE110,1981,339
1,EE110,1986,375
1,EE110,1991,255
1,EE110,1996,276
1,EE110,2001,312
1,EE110,2006,519
1,EE110,2013,354
1,EE113,1976,627
1,EE113,1981,141
1,EE113,1986,474
1,EE113,1991,102
1,EE113,1996,84
1,EE113,2001,63
1,EE113,2006,84
1,EE113,2013,66
1,FF11_,1976,93
1,FF11_,1981,138
1,FF11_,1986,261
1,FF11_,1991,219
1,FF11_,1996,285
1,FF11_,2001,318
1,FF11_,2006,312
1,FF11_,2013,261
1,FF110,1976,84
1,FF110,1981,108
1,FF110,1986,147
1,FF110,1991,153
1,FF110,1996,129
1,FF110,2001,144
1,FF110,2006,153
1,FF110,2013,99
1,FF111,1976,348
1,FF111,1981,318
1,FF111,1986,252
1,FF111,1991,108
1,FF111,1996,159
1,FF111,2001,159
1,FF111,2006,162
1,FF111,2013,195
1,FF114,1976,204
1,FF114,1981,183
1,FF114,1986,234
1,FF114,1991,207
1,FF114,1996,261
1,FF114,2001,237
1,FF114,2006,192
1,FF114,2013,147
1,GH111,1976,339
1,GH111,1981,261
1,GH111,1986,279
1,GH111,1991,204
1,GH111,1996,219
1,GH111,2001,246
1,GH111,2006,234
1,GH111,2013,183
1,GH112,1976,114
1,GH112,1981,234
1,GH112,1986,246
1,GH112,1991,276
1,GH112,1996,192
1,GH112,2001,147
1,GH112,2006,108
1,GH112,2013,69
1,GH121,1976,378
1,GH121,1981,408
1,GH121,1986,456
1,GH121,1991,498
1,GH121,1996,666
1,GH121,2001,660
1,GH121,2006,708
1,GH121,2013,636
1,GH122,1976,129
1,GH122,1981,138
1,GH122,1986,159
1,GH122,1991,135
1,GH122,1996,135
1,GH122,2001,144
1,GH122,2006,156
1,GH122,2013,114
1,GH130,1976,258
1,GH130,1981,240
1,GH130,1986,270
1,GH130,1991,303
1,GH130,1996,285
1,GH130,2001,312
1,GH130,2006,411
1,GH130,2013,294
1,GH131,1976,438
1,GH131,1981,462
1,GH131,1986,606
1,GH131,1991,510
1,GH131,1996,402
1,GH131,2001,375
1,GH131,2006,546
1,GH131,2013,450
1,GH132,1976,312
1,GH132,1981,285
1,GH132,1986,384
1,GH132,1991,327
1,GH132,1996,354
1,GH132,2001,339
1,GH132,2006,324
1,GH132,2013,300
1,GH133,1976,141
1,GH133,1981,123
1,GH133,1986,120
1,GH133,1991,66
1,GH133,1996,186
1,GH133,2001,195
1,GH133,2006,195
1,GH133,2013,168
1,GH21_,1976,486
1,GH21_,1981,642
1,GH21_,1986,879
1,GH21_,1991,660
1,GH21_,1996,849
1,GH21_,2001,912
1,GH21_,2006,1080
1,GH21_,2013,954
1,II111,1976,321
1,II111,1981,342
1,II111,1986,399
1,II111,1991,354
1,II111,1996,396
1,II111,2001,471
1,II111,2006,450
1,II111,2013,462
1,II120,1976,27
1,II120,1981,114
1,II120,1986,12
1,II120,1991,15
1,II120,1996,6
1,II120,2001,33
1,II120,2006,30
1,II120,2013,18
1,II121,1976,261
1,II121,1981,162
1,II121,1986,111
1,II121,1991,36
1,II121,1996,27
1,II121,2001,24
1,II121,2006,12
1,II121,2013,18
1,II123,1976,9
1,II123,1981,12
1,II123,1986,15
1,II123,1991,21
1,II123,1996,21
1,II123,2001,21
1,II123,2006,18
1,II123,2013,18
1,II13_,1976,732
1,II13_,1981,210
1,II13_,1986,246
1,II13_,1991,354
1,II13_,1996,453
1,II13_,2001,315
1,II13_,2006,354
1,II13_,2013,297
1,JJ11_,1976,183
1,JJ11_,1981,186
1,JJ11_,1986,204
