ua,ua_name
1,Whangarei
2,Northern Auckland Zone
3,Western Auckland Zone
4,Central Auckland Zone
5,Southern Auckland Zone
6,Hamilton Zone
7,Cambridge Zone
8,Te Awamutu Zone
9,Tauranga
10,Rotorua
11,Gisborne
12,Napier Zone
13,Hastings Zone
14,New Plymouth
15,Wanganui
16,Palmerston North
17,Upper Hutt Zone
18,Lower Hutt Zone
19,Porirua Zone
20,Wellington Zone
21,Nelson
22,Christchurch
23,Dunedin
24,Invercargill
25,Kapiti
26,Blenheim
101,Pukekohe
102,Tokoroa
103,Taupo
104,Whakatane
105,Hawera
106,Feilding
107,Levin
109,Masterton
111,Greymouth
112,Ashburton
113,Timaru
114,Oamaru
116,Rangiora
117,Queenstown
201,Taipa Bay-Mangonui
202,Kaitaia
203,Kerikeri
205,Paihia
206,Kawakawa
207,Moerewa
208,Kaikohe
209,Dargaville
210,Wellsford
211,Warkworth
212,Snells Beach
213,Helensville
214,Waiheke Island
215,Waiuku
216,Raglan
217,Huntly
218,Otorohanga
219,Te Kuiti
220,Taumarunui
221,Whitianga
222,Coromandel
223,Whangamata
224,Tairua
226,Thames
227,Waihi Beach
228,Paeroa
229,Waihi
230,Te Aroha
231,Morrinsville
232,Matamata
233,Putaruru
234,Katikati Community
235,Te Puke Community
237,Turangi
238,Edgecumbe
239,Kawerau
240,Murupara
241,Opotiki
242,Wairoa
243,Waipawa
244,Waipukurau
245,Dannevirke
246,Woodville
247,Waitara
248,Inglewood
249,Stratford
250,Opunake
251,Eltham
253,Patea
254,Ohakune
255,Raetihi
256,Waiouru
257,Bulls
258,Taihape
259,Marton
260,Foxton Community
261,Shannon
262,Otaki
263,Pahiatua
264,Carterton
265,Greytown
266,Featherston
267,Martinborough
268,Picton
269,Kaikoura
270,Takaka
271,Brightwater
272,Wakefield
273,Motueka
274,Westport
275,Reefton
276,Hokitika
278,Woodend
280,Oxford
281,Darfield
282,Lincoln
283,Leeston
284,Pleasant Point
285,Geraldine
286,Temuka
287,Twizel Community
288,Waimate
289,Milton
290,Balclutha
291,Alexandra
292,Cromwell
293,Wanaka
294,Arrowtown
296,Winton
297,Bluff
298,Te Anau
299,Riverton
300,Rolleston
301,Gore
302,Ngunguru
303,Mangawhai Heads
304,Te Kauwhata
305,Ngatea
306,Mapua
307,Amberley
308,Methven
309,Rakaia
310,Waikouaiti
