ind,occ,act,year,act_complexity,act_size
AA111,6,AA111.6,1981,-0.9913111172744566,11034
AA111,6,AA111.6,1986,-0.7808420907006408,14181
AA111,6,AA111.6,1991,-0.8597259646972322,11847
AA111,6,AA111.6,1996,-0.7152850143207006,12636
AA111,6,AA111.6,2001,-0.7186474337706955,10905
AA111,6,AA111.6,2006,-0.7169134096226689,8031
AA111,6,AA111.6,2013,-0.6639777935478018,6756
AA121,6,AA121.6,1981,-1.0332474553238877,5352
AA121,6,AA121.6,1986,-0.6363441899312546,4488
AA121,6,AA121.6,1991,-1.0694727365978978,3978
AA121,6,AA121.6,1996,-0.9466741185126591,4659
AA121,6,AA121.6,2001,-0.8403318228248244,3189
AA121,6,AA121.6,2006,-0.9599102480494386,3300
AA121,6,AA121.6,2013,-0.9230478947491654,2916
AA131,6,AA131.6,1981,-0.6393831134928369,4008
AA131,6,AA131.6,1986,-0.21600323169485702,3696
AA131,6,AA131.6,1991,-0.48402557516544104,3012
AA131,6,AA131.6,1996,-0.38789392228220654,3597
AA131,6,AA131.6,2001,-0.4034607802851366,3315
AA131,6,AA131.6,2006,-0.4649650658114106,2889
AA131,6,AA131.6,2013,-0.46845671777927417,2970
AA141,6,AA141.6,1981,-1.3417587322785607,1620
AA141,6,AA141.6,1986,-1.0762141493068467,2010
AA141,6,AA141.6,1991,-1.2595602218656397,1710
AA141,6,AA141.6,1996,-1.0774026796183531,1821
AA141,6,AA141.6,2001,-0.8990501132554852,1887
AA141,6,AA141.6,2006,-0.944201587658282,1398
AA141,6,AA141.6,2013,-0.9734356480944114,1341
AA211,6,AA211.6,1981,-0.6172495700487411,2805
AA211,6,AA211.6,1986,-0.3457118890061289,2430
AA211,6,AA211.6,1991,-0.4334461296854455,1347
AA211,6,AA211.6,1996,-0.5119235956569015,2106
AA211,6,AA211.6,2001,-0.5116114404298461,1911
AA211,6,AA211.6,2006,-0.5920482487327736,1410
AA211,6,AA211.6,2013,-0.5045268710700693,1401
AA320,6,AA320.6,1981,-0.9071429151452794,3216
AA320,6,AA320.6,1986,-0.5568911535918902,3087
AA320,6,AA320.6,1991,-0.9040523307918688,2523
AA320,6,AA320.6,1996,-0.7510876807336045,2991
AA320,6,AA320.6,2001,-0.682975740467983,4008
AA320,6,AA320.6,2006,-0.7387188720321798,3297
AA320,6,AA320.6,2013,-0.6137159559657315,2790
BB11_,8,BB11_.8,1981,-0.8062046487984478,1200
BB11_,8,BB11_.8,1986,-0.6118438521951679,1383
BB11_,8,BB11_.8,1991,-0.6802571787154693,783
BB11_,8,BB11_.8,1996,-0.555375056524269,762
BB11_,8,BB11_.8,2001,-0.6006426297204784,648
BB11_,8,BB11_.8,2006,-0.6020209877747686,870
BB11_,8,BB11_.8,2013,-0.592968129189775,957
CC1_,4,CC1_.4,1981,-0.9835764029932652,2037
CC1_,4,CC1_.4,1986,-0.9100342468501577,1965
CC1_,4,CC1_.4,1991,-1.0735713485413445,879
CC1_,4,CC1_.4,1996,-1.1150547186606035,822
CC1_,4,CC1_.4,2001,-1.0506642258189052,876
CC1_,4,CC1_.4,2006,-1.0814527905599187,786
CC1_,4,CC1_.4,2013,-1.0673005527027364,906
CC1_,7,CC1_.7,1981,-1.2098770119320352,2022
CC1_,7,CC1_.7,1986,-0.8025539070183129,1902
CC1_,7,CC1_.7,1991,-1.0181856775872222,2199
CC1_,7,CC1_.7,1996,-0.9429505187987468,1368
CC1_,7,CC1_.7,2001,-0.8967055801146762,1167
CC1_,7,CC1_.7,2006,-0.8372412941210207,1206
CC1_,7,CC1_.7,2013,-0.7660433711925293,1116
CC1_,8,CC1_.8,1981,-1.1832579432408266,20034
CC1_,8,CC1_.8,1986,-0.7598835456306076,19323
CC1_,8,CC1_.8,1991,-0.935450263856004,11250
CC1_,8,CC1_.8,1996,-0.7794801221654313,8538
CC1_,8,CC1_.8,2001,-0.7459392743369146,9906
CC1_,8,CC1_.8,2006,-0.8111868767882399,8538
CC1_,8,CC1_.8,2013,-0.8470441622692684,7767
CC1_,9,CC1_.9,1981,-1.3745502000290775,2748
CC1_,9,CC1_.9,1986,-0.995463602376598,2733
CC1_,9,CC1_.9,1991,-1.043282779342332,3564
CC1_,9,CC1_.9,1996,-0.9790216702352522,2847
CC1_,9,CC1_.9,2001,-0.8756399446830438,2871
CC1_,9,CC1_.9,2006,-0.8892859443146963,3798
CC1_,9,CC1_.9,2013,-0.9685169265170763,3855
CC131,8,CC131.8,1981,-0.6422386149974423,2658
CC131,8,CC131.8,1986,-0.7097484064162733,1965
CC131,8,CC131.8,1991,-0.6873916692552928,1692
CC131,8,CC131.8,1996,-0.8080243243236764,1485
CC131,8,CC131.8,2001,-0.9014351560391519,1497
CC131,8,CC131.8,2006,-0.7089273040515164,1578
CC131,8,CC131.8,2013,-0.8297601245018009,1812
CC141,1,CC141.1,1981,-0.37224518060464873,921
CC141,1,CC141.1,1986,-0.8268512524881103,1434
CC141,1,CC141.1,1991,-0.0915927957255116,1812
CC141,1,CC141.1,1996,-0.07891544348134173,2085
CC141,1,CC141.1,2001,0.0032630472742612706,2253
CC141,1,CC141.1,2006,0.5008806686203826,2667
