ua_1,ua_2,year,relatedness
1,1,1981,1
1,1,1986,1
1,1,1991,0.9999999999999999
1,1,1996,1
1,1,2001,0.9999999999999999
1,1,2006,1
1,1,2013,1
1,2,1981,0.3901931671529708
1,2,1986,0.4435621030932718
1,2,1991,0.20836950306379892
1,2,1996,0.2597537737848836
1,2,2001,0.2083008504921962
1,2,2006,0.16639825872599495
1,2,2013,0.12123622229382958
1,3,1981,0.33041933757556907
1,3,1986,0.4719250730999512
1,3,1991,0.2642404719001017
1,3,1996,0.29030000028581315
1,3,2001,0.32953761485110766
1,3,2006,0.378328465108273
1,3,2013,0.24905381228271672
1,4,1981,0.27286438506702626
1,4,1986,0.4003093691172065
1,4,1991,0.2211559766048889
1,4,1996,0.16824896742466522
1,4,2001,0.1892967967793201
1,4,2006,0.1278875554373225
1,4,2013,0.1544271010746356
1,5,1981,0.25735359367635796
1,5,1986,0.4011624590636027
1,5,1991,0.22125430916594996
1,5,1996,0.28805669155046143
1,5,2001,0.24788060194523337
1,5,2006,0.28780603570876645
1,5,2013,0.26863854406662546
1,6,1981,0.6690523512659622
1,6,1986,0.6030776028823545
1,6,1991,0.7058652072637256
1,6,1996,0.6860420629168147
1,6,2001,0.7395281093179729
1,6,2006,0.7565182686746863
1,6,2013,0.702097994118
1,7,1981,0.7833522372930877
1,7,1986,0.5992237104285738
1,7,1991,0.7884224598600597
1,7,1996,0.865811460386708
1,7,2001,0.8678622621722731
1,7,2006,0.8493010984530277
1,7,2013,0.7723311603109515
1,8,1981,0.7965822083440697
1,8,1986,0.6116689030209574
1,8,1991,0.8343846798150278
1,8,1996,0.8662145406039721
1,8,2001,0.8809628921050636
1,8,2006,0.8718932399291209
1,8,2013,0.8515493300560688
1,9,1981,0.6361441749951655
1,9,1986,0.6075110164028078
1,9,1991,0.6669017897403907
1,9,1996,0.7100694385829297
1,9,2001,0.7502556331016534
1,9,2006,0.8463305342809679
1,9,2013,0.8795373868247418
1,10,1981,0.7466588619031009
1,10,1986,0.6431712451741198
1,10,1991,0.7519650812015357
1,10,1996,0.7226057435437946
1,10,2001,0.7357302850516174
1,10,2006,0.8134949313406069
1,10,2013,0.8608481986405407
1,11,1981,0.6867978968056961
1,11,1986,0.5633366834076697
1,11,1991,0.8305604354987575
1,11,1996,0.6746810211110033
1,11,2001,0.7521945641682533
1,11,2006,0.8505950090056698
1,11,2013,0.8657990389648049
1,12,1981,0.342293479107051
1,12,1986,0.39652026972179383
1,12,1991,0.4131039150575806
1,12,1996,0.4657093638450942
1,12,2001,0.5518291441335844
1,12,2006,0.6080223667706812
1,12,2013,0.712238044560207
1,13,1981,0.5325302023922744
1,13,1986,0.45168232988482276
1,13,1991,0.5182955489755603
1,13,1996,0.5052547692817977
1,13,2001,0.489783807610458
1,13,2006,0.5446031724579208
1,13,2013,0.5714856882176409
1,14,1981,0.7673015039404436
1,14,1986,0.8106049378659128
1,14,1991,0.7883421008864044
1,14,1996,0.8206329467206072
1,14,2001,0.9034672763709093
1,14,2006,0.8981969010658979
1,14,2013,0.7788907528783586
1,15,1981,0.6886944536513797
1,15,1986,0.5800642820972387
1,15,1991,0.8546685234886274
1,15,1996,0.8582273915018779
1,15,2001,0.8281123031717339
1,15,2006,0.8920246647535999
1,15,2013,0.916772730007857
1,16,1981,0.6101384801491833
1,16,1986,0.5740171582920394
1,16,1991,0.6835365986783302
1,16,1996,0.6821504617845554
1,16,2001,0.7400508231369662
1,16,2006,0.7426094921738786
1,16,2013,0.8487163531991834
1,17,1981,0.5308220030403998
1,17,1986,0.5985952473265115
1,17,1991,0.6529650497473507
