anzsic06,nzsioc13,nzsioc13_desc,nzsioc13_gp,nzsioc13_gp_desc
A011,AA111,Horticulture and fruit growing,AA111,Horticulture and fruit growing
A012,AA111,Horticulture and fruit growing,AA111,Horticulture and fruit growing
A013,AA111,Horticulture and fruit growing,AA111,Horticulture and fruit growing
A014,AA121,"Sheep, beef cattle and grain farming",AA121,"Sheep, beef cattle and grain farming"
A015,AA121,"Sheep, beef cattle and grain farming",AA121,"Sheep, beef cattle and grain farming"
A016,AA131,Dairy cattle farming,AA131,Dairy cattle farming
A017,AA141,"Poultry, deer and other livestock farming",AA141,"Poultry, deer and other livestock farming"
A018,AA141,"Poultry, deer and other livestock farming",AA141,"Poultry, deer and other livestock farming"
A019,AA141,"Poultry, deer and other livestock farming",AA141,"Poultry, deer and other livestock farming"
A020,AA310,Fishing and aquaculture,AA310,Fishing and aquaculture
A030,AA211,Forestry and logging,AA211,Forestry and logging
A041,AA310,Fishing and aquaculture,AA310,Fishing and aquaculture
A042,AA320,"Agriculture, forestry and fishing support services",AA320,"Agriculture, forestry and fishing support services"
A051,AA320,"Agriculture, forestry and fishing support services",AA320,"Agriculture, forestry and fishing support services"
A052,AA320,"Agriculture, forestry and fishing support services",AA320,"Agriculture, forestry and fishing support services"
B060,BB111,Coal mining,BB11_,Mining
B070,BB112,Oil and gas extraction,BB11_,Mining
B080,BB113,Metal ore and non-metallic mineral mining and quarrying,BB11_,Mining
B091,BB113,Metal ore and non-metallic mineral mining and quarrying,BB11_,Mining
B099,BB113,Metal ore and non-metallic mineral mining and quarrying,BB11_,Mining
B101,BB114,Exploration and other mining support services,BB11_,Mining
B109,BB114,Exploration and other mining support services,BB11_,Mining
C111,CC111,Meat and meat product manufacturing,CC1_,Meat_Fish_Mfrg
C112,CC121,Seafood processing,CC1_,Meat_Fish_Mfrg
C113,CC131,Dairy product manufacturing,CC131,Dairy product manufacturing
C114,CC141,"Fruit, oil, cereal and other food product manufacturing",CC141,"Fruit, oil, cereal and other food product manufacturing"
C115,CC141,"Fruit, oil, cereal and other food product manufacturing",CC141,"Fruit, oil, cereal and other food product manufacturing"
C116,CC141,"Fruit, oil, cereal and other food product manufacturing",CC141,"Fruit, oil, cereal and other food product manufacturing"
C117,CC141,"Fruit, oil, cereal and other food product manufacturing",CC141,"Fruit, oil, cereal and other food product manufacturing"
C118,CC141,"Fruit, oil, cereal and other food product manufacturing",CC141,"Fruit, oil, cereal and other food product manufacturing"
C119,CC141,"Fruit, oil, cereal and other food product manufacturing",CC141,"Fruit, oil, cereal and other food product manufacturing"
C121,CC151,Beverage and tobacco product manufacturing,CC151,Beverage and tobacco product manufacturing
C122,CC151,Beverage and tobacco product manufacturing,CC151,Beverage and tobacco product manufacturing
C131,CC211,Textile and leather manufacturing,CC211,Textile and leather manufacturing
C132,CC211,Textile and leather manufacturing,CC211,Textile and leather manufacturing
C133,CC211,Textile and leather manufacturing,CC211,Textile and leather manufacturing
C134,CC212,"Clothing, knitted products and footwear manufacturing",CC212,"Clothing, knitted products and footwear manufacturing"
C135,CC212,"Clothing, knitted products and footwear manufacturing",CC212,"Clothing, knitted products and footwear manufacturing"
C141,CC311,Wood product manufacturing,CC311,Wood product manufacturing
C149,CC311,Wood product manufacturing,CC311,Wood product manufacturing
C151,CC321,"Pulp, paper and converted paper product manufacturing",CC321,"Pulp, paper and converted paper product manufacturing"
C152,CC321,"Pulp, paper and converted paper product manufacturing",CC321,"Pulp, paper and converted paper product manufacturing"
C161,CC411,Printing,CC411,Printing
C162,CC411,Printing,CC411,Printing
C170,CC511,Petroleum and coal product manufacturing,CC5_,Petrochem
C181,CC521,Basic chemical and basic polymer manufacturing,CC5_,Petrochem
C182,CC521,Basic chemical and basic polymer manufacturing,CC5_,Petrochem
C183,CC522,Fertiliser and pesticide manufacturing,CC5_,Petrochem
C184,CC523,"Pharmaceutical, cleaning and other chemical manufacturing",CC5_,Petrochem
C185,CC523,"Pharmaceutical, cleaning and other chemical manufacturing",CC5_,Petrochem
C189,CC523,"Pharmaceutical, cleaning and other chemical manufacturing",CC5_,Petrochem
C191,CC531,Polymer product and rubber product manufacturing,CC5_,Petrochem
C192,CC531,Polymer product and rubber product manufacturing,CC5_,Petrochem
C201,CC611,Non-metallic mineral product manufacturing,CC611,Non-metallic mineral product manufacturing
C202,CC611,Non-metallic mineral product manufacturing,CC611,Non-metallic mineral product manufacturing
C203,CC611,Non-metallic mineral product manufacturing,CC611,Non-metallic mineral product manufacturing
C209,CC611,Non-metallic mineral product manufacturing,CC611,Non-metallic mineral product manufacturing
C211,CC711,Primary metal and metal product manufacturing,CC711,Primary metal and metal product manufacturing
C212,CC711,Primary metal and metal product manufacturing,CC711,Primary metal and metal product manufacturing
C213,CC711,Primary metal and metal product manufacturing,CC711,Primary metal and metal product manufacturing
C214,CC711,Primary metal and metal product manufacturing,CC711,Primary metal and metal product manufacturing
C221,CC721,Fabricated metal product manufacturing,CC721,Fabricated metal product manufacturing
C222,CC721,Fabricated metal product manufacturing,CC721,Fabricated metal product manufacturing
C223,CC721,Fabricated metal product manufacturing,CC721,Fabricated metal product manufacturing
C224,CC721,Fabricated metal product manufacturing,CC721,Fabricated metal product manufacturing
C229,CC721,Fabricated metal product manufacturing,CC721,Fabricated metal product manufacturing
C231,CC811,Transport equipment manufacturing,CC811,Transport equipment manufacturing
C239,CC811,Transport equipment manufacturing,CC811,Transport equipment manufacturing
C241,CC821,Electronic and electrical equipment manufacturing,CC821,Electronic and electrical equipment manufacturing
C242,CC821,Electronic and electrical equipment manufacturing,CC821,Electronic and electrical equipment manufacturing
C243,CC821,Electronic and electrical equipment manufacturing,CC821,Electronic and electrical equipment manufacturing
C244,CC821,Electronic and electrical equipment manufacturing,CC821,Electronic and electrical equipment manufacturing
C245,CC822,Machinery manufacturing,CC822,Machinery manufacturing
C246,CC822,Machinery manufacturing,CC822,Machinery manufacturing
C249,CC822,Machinery manufacturing,CC822,Machinery manufacturing
C251,CC911,Furniture manufacturing,CC91_,Other_Mfrg
C259,CC912,Other manufacturing,CC91_,Other_Mfrg
D261,DD111,Electricity generation and on-selling,DD1_,Elec_Gas_Water
D262,DD112,Electricity transmission and distribution,DD1_,Elec_Gas_Water
D263,DD112,Electricity transmission and distribution,DD1_,Elec_Gas_Water
D264,DD111,Electricity generation and on-selling,DD1_,Elec_Gas_Water
D270,DD113,Gas supply,DD1_,Elec_Gas_Water
D281,DD12_,Water Sewerage Drainage,DD1_,Elec_Gas_Water
D291,DD123,"Waste collection, treatment and disposal services",DD1_,Elec_Gas_Water
D292,DD123,"Waste collection, treatment and disposal services",DD1_,Elec_Gas_Water
E301,EE110,Residential building construction,EE110,Residential building construction
E302,EE113,Non-residential building construction,EE113,Non-residential building construction
E310,EE121,Heavy and civil engineering construction,EE1_,Construct
E321,EE131,Construction services,EE1_,Construct
E322,EE131,Construction services,EE1_,Construct
E323,EE131,Construction services,EE1_,Construct
E324,EE131,Construction services,EE1_,Construct
E329,EE131,Construction services,EE1_,Construct
F331,FF111,Basic material wholesaling,FF111,Basic material wholesaling
F332,FF111,Basic material wholesaling,FF111,Basic material wholesaling
F333,FF111,Basic material wholesaling,FF111,Basic material wholesaling
F341,FF112,Machinery and equipment wholesaling,FF11_,Oth_Wholesale
F349,FF112,Machinery and equipment wholesaling,FF11_,Oth_Wholesale
F350,FF113,Motor vehicle and motor vehicle parts wholesaling,FF11_,Oth_Wholesale
F360,FF114,"Grocery, liquor and tobacco product wholesaling",FF114,"Grocery, liquor and tobacco product wholesaling"
F371,FF110,Other goods and commission based wholesaling,FF110,Other goods and commission based wholesaling
F372,FF110,Other goods and commission based wholesaling,FF110,Other goods and commission based wholesaling
F373,FF110,Other goods and commission based wholesaling,FF110,Other goods and commission based wholesaling
F380,FF110,Other goods and commission based wholesaling,FF110,Other goods and commission based wholesaling
G391,GH111,Motor vehicle and parts retailing,GH111,Motor vehicle and parts retailing
G392,GH111,Motor vehicle and parts retailing,GH111,Motor vehicle and parts retailing
G400,GH112,Fuel retailing,GH112,Fuel retailing
G411,GH121,Supermarket and grocery stores,GH121,Supermarket and grocery stores
G412,GH122,Specialised food retailing,GH122,Specialised food retailing
G421,GH131,"Furniture, electrical and hardware retailing",GH131,"Furniture, electrical and hardware retailing"
G422,GH131,"Furniture, electrical and hardware retailing",GH131,"Furniture, electrical and hardware retailing"
G423,GH131,"Furniture, electrical and hardware retailing",GH131,"Furniture, electrical and hardware retailing"
G424,GH132,"Recreational, clothing, footwear and personal accessory retailing",GH132,"Recreational, clothing, footwear and personal accessory retailing"
G425,GH132,"Recreational, clothing, footwear and personal accessory retailing",GH132,"Recreational, clothing, footwear and personal accessory retailing"
