ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
EE1_,Other construction,Legislators,9,0.57,-0.5
EE1_,Other construction,Elementary occupations (inc. residuals),9,0.62,-0.96
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,9,0.65,-0.62
GH21_,Accomodation and food services,Service and sales workers,45,0.44,1.4
KK110,Banking and financing; financial asset investing,Clerks,6,0.32,1.7
MN11_,"Professional, scientific and technical services",Professionals,27,0.36,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,12,0.35,1.99
MN21_,Administrative and support services,Elementary occupations (inc. residuals),12,0.59,-0.93
PP11_,Education and training,Legislators,12,0.48,1.12
PP11_,Education and training,Technicians and associate professionals,15,0.6,-0.3
PP11_,Education and training,Clerks,9,0.5,0.69
QQ11_,Health care and social assistance,Professionals,54,0.55,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,27,0.68,-0.95
QQ11_,Health care and social assistance,Clerks,12,0.68,-1.07
RS11_,Arts and recreational services,Technicians and associate professionals,9,0.42,1.4
