ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA131,Dairy cattle farming,Agriculture and fishery workers,15,0.5,-0.47
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,9,0.5,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,12,0.52,-0.56
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,6,0.51,-0.26
CC311,Wood product manufacturing,Trades workers,18,0.5,-1.16
CC411,Printing,Clerks,6,0.52,-0.02
CC411,Printing,Trades workers,9,0.5,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,18,0.53,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,9,0.53,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,12,0.52,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),12,0.52,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,9,0.51,-0.85
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,9,0.53,-0.72
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,18,0.52,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),15,0.52,-0.93
CC811,Transport equipment manufacturing,Trades workers,21,0.52,-0.47
CC811,Transport equipment manufacturing,Plant and machine operators and assemblers,6,0.52,-1.06
CC822,Machinery manufacturing,Legislators,9,0.53,-0.67
CC822,Machinery manufacturing,Trades workers,6,0.51,-1.23
CC822,Machinery manufacturing,Plant and machine operators and assemblers,9,0.51,-0.85
CC91_,Furniture and other manufacturing,Trades workers,18,0.51,-0.25
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,12,0.5,-0.41
EE1_,Other construction,Legislators,84,0.51,-0.5
EE1_,Other construction,Professionals,27,0.52,-0.13
EE1_,Other construction,Technicians and associate professionals,60,0.51,-0.87
EE1_,Other construction,Trades workers,261,0.49,-0.93
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,39,0.53,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,21,0.53,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,15,0.53,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,27,0.53,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),12,0.53,0.41
FF110,Other goods and commission based wholesaling,Legislators,12,0.52,1.74
FF110,Other goods and commission based wholesaling,Clerks,12,0.53,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,18,0.53,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),9,0.53,0.76
FF111,Basic material wholesaling,Legislators,21,0.54,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,18,0.53,-0.71
FF111,Basic material wholesaling,Clerks,12,0.52,-0.44
FF111,Basic material wholesaling,Service and sales workers,9,0.53,-0.78
FF111,Basic material wholesaling,Plant and machine operators and assemblers,9,0.51,-0.88
FF111,Basic material wholesaling,Elementary occupations (inc. residuals),12,0.52,-0.63
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,21,0.53,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,9,0.51,0.83
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,9,0.5,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,15,0.5,-0.22
FF114,"Grocery, liquor and tobacco product wholesaling",Elementary occupations (inc. residuals),12,0.52,-0.42
GH111,Motor vehicle and parts retailing,Legislators,24,0.51,-1
GH122,Specialised food retailing,Legislators,15,0.54,0.72
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,36,0.53,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,21,0.52,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,72,0.53,1.27
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),9,0.53,-0.21
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,96,0.5,0.8
GH21_,Accomodation and food services,Clerks,36,0.49,1.09
GH21_,Accomodation and food services,Service and sales workers,429,0.49,1.4
II111,Road transport,Clerks,18,0.52,-0.55
II13_,"Postal, courier transport support and warehousing services",Clerks,51,0.51,-0.09
II13_,"Postal, courier transport support and warehousing services",Plant and machine operators and assemblers,21,0.5,-0.63
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),39,0.51,-0.61
JJ11_,Information media services,Technicians and associate professionals,39,0.49,1.92
KK1_,Other financial and insurance services,Legislators,15,0.5,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,27,0.49,1.57
KK1_,Other financial and insurance services,Clerks,15,0.49,1.81
KK110,Banking and financing; financial asset investing,Legislators,48,0.51,2.01
KK110,Banking and financing; financial asset investing,Professionals,15,0.48,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,21,0.49,1.86
KK110,Banking and financing; financial asset investing,Clerks,42,0.49,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,51,0.53,1.63
LL12_,Property operators and real estate services,Clerks,27,0.53,0.85
MN11_,"Professional, scientific and technical services",Professionals,243,0.48,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,117,0.49,1.99
MN11_,"Professional, scientific and technical services",Clerks,126,0.49,1.9
MN21_,Administrative and support services,Professionals,33,0.5,2.02
MN21_,Administrative and support services,Technicians and associate professionals,45,0.51,2
MN21_,Administrative and support services,Clerks,45,0.5,1.53
OO21_,Public safety and defence,Clerks,24,0.45,0.25
OO211,Central government administration and justice,Legislators,9,0.45,0.63
OO211,Central government administration and justice,Professionals,15,0.45,0.68
OO211,Central government administration and justice,Technicians and associate professionals,27,0.45,-0.23
OO211,Central government administration and justice,Clerks,15,0.45,0.18
OO211,Central government administration and justice,Service and sales workers,6,0.47,-0.24
PP11_,Education and training,Legislators,69,0.49,1.12
PP11_,Education and training,Professionals,486,0.49,0.34
PP11_,Education and training,Technicians and associate professionals,138,0.49,-0.3
PP11_,Education and training,Clerks,45,0.48,0.69
PP11_,Education and training,Service and sales workers,30,0.5,-0.29
PP11_,Education and training,Elementary occupations (inc. residuals),39,0.49,-0.8
QQ11_,Health care and social assistance,Legislators,84,0.49,-0.08
QQ11_,Health care and social assistance,Professionals,423,0.5,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,246,0.51,-0.95
QQ11_,Health care and social assistance,Clerks,135,0.5,-1.07
QQ11_,Health care and social assistance,Elementary occupations (inc. residuals),42,0.5,-1.16
RS11_,Arts and recreational services,Technicians and associate professionals,81,0.47,1.4
RS11_,Arts and recreational services,Clerks,18,0.48,1.25
RS11_,Arts and recreational services,Service and sales workers,15,0.48,1.1
RS11_,Arts and recreational services,Agriculture and fishery workers,12,0.51,-0.77
RS210,Personal services; domestic household staff,Plant and machine operators and assemblers,12,0.51,-0.88
RS211,Repair and maintenance,Clerks,12,0.52,-0.93
RS219,"Religious services; civil, professional and other interest groups",Legislators,18,0.46,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,33,0.48,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,18,0.47,1.15
RS219,"Religious services; civil, professional and other interest groups",Clerks,21,0.45,1.03
