ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,18,0.49,-0.85
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,6,0.49,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),18,0.49,-0.58
CC311,Wood product manufacturing,Plant and machine operators and assemblers,12,0.5,-0.84
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,15,0.51,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,9,0.49,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),9,0.49,-0.44
CC721,Fabricated metal product manufacturing,Legislators,12,0.52,-0.35
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,9,0.5,0.42
CC822,Machinery manufacturing,Trades workers,15,0.49,-1.23
CC91_,Furniture and other manufacturing,Trades workers,9,0.49,-0.25
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),6,0.48,-1
EE110,Residential building construction,Trades workers,84,0.48,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),9,0.48,-0.44
EE113,Non-residential building construction,Trades workers,15,0.48,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),9,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,33,0.52,1.74
FF111,Basic material wholesaling,Clerks,12,0.5,-0.44
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,18,0.53,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,9,0.52,0.83
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,12,0.5,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,9,0.5,-0.22
FF114,"Grocery, liquor and tobacco product wholesaling",Elementary occupations (inc. residuals),9,0.5,-0.42
GH121,Supermarket and grocery stores,Clerks,48,0.48,-1.08
GH121,Supermarket and grocery stores,Elementary occupations (inc. residuals),6,0.48,-1.15
GH122,Specialised food retailing,Legislators,12,0.53,0.72
GH122,Specialised food retailing,Service and sales workers,9,0.5,0.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,15,0.53,-0.06
GH131,"Furniture, electrical and hardware retailing",Clerks,15,0.5,-0.99
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,27,0.53,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,51,0.52,0.8
GH21_,Accomodation and food services,Legislators,105,0.52,0.97
GH21_,Accomodation and food services,Clerks,15,0.51,1.09
GH21_,Accomodation and food services,Service and sales workers,231,0.51,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),36,0.49,-0.6
II123,Air and space transport,Technicians and associate professionals,15,0.49,0.71
II13_,"Postal, courier transport support and warehousing services",Clerks,24,0.48,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),15,0.48,-0.61
JJ11_,Information media services,Technicians and associate professionals,12,0.5,1.92
JJ120,Telecommunications services including internet service providers,Legislators,9,0.51,2
JJ120,Telecommunications services including internet service providers,Professionals,12,0.5,1.92
JJ120,Telecommunications services including internet service providers,Technicians and associate professionals,6,0.51,1.59
KK1_,Other financial and insurance services,Legislators,21,0.51,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,42,0.51,1.57
KK1_,Other financial and insurance services,Clerks,15,0.51,1.81
KK110,Banking and financing; financial asset investing,Legislators,36,0.52,2.01
KK110,Banking and financing; financial asset investing,Professionals,12,0.5,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,21,0.5,1.86
KK110,Banking and financing; financial asset investing,Clerks,48,0.49,1.7
MN11_,"Professional, scientific and technical services",Professionals,234,0.5,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,120,0.51,1.99
MN11_,"Professional, scientific and technical services",Clerks,102,0.51,1.9
MN21_,Administrative and support services,Professionals,21,0.52,2.02
MN21_,Administrative and support services,Clerks,21,0.51,1.53
MN21_,Administrative and support services,Service and sales workers,15,0.53,1.59
MN21_,Administrative and support services,Elementary occupations (inc. residuals),69,0.49,-0.93
OO111,Local government administration,Clerks,12,0.51,-0.5
OO21_,Public safety and defence,Service and sales workers,78,0.5,-0.29
OO211,Central government administration and justice,Legislators,15,0.46,0.63
OO211,Central government administration and justice,Professionals,15,0.46,0.68
OO211,Central government administration and justice,Technicians and associate professionals,24,0.47,-0.23
OO211,Central government administration and justice,Clerks,24,0.47,0.18
QQ11_,Health care and social assistance,Elementary occupations (inc. residuals),27,0.49,-1.16
RS11_,Arts and recreational services,Clerks,15,0.51,1.25
RS11_,Arts and recreational services,Service and sales workers,12,0.5,1.1
RS210,Personal services; domestic household staff,Service and sales workers,51,0.5,-0.57
RS219,"Religious services; civil, professional and other interest groups",Legislators,15,0.48,1.52
RS219,"Religious services; civil, professional and other interest groups",Clerks,15,0.48,1.03
