ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,135,0.42,-0.66
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,42,0.4,-0.92
AA131,Dairy cattle farming,Agriculture and fishery workers,36,0.44,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,24,0.39,-0.97
AA211,Forestry and logging,Agriculture and fishery workers,6,0.43,-0.5
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,18,0.42,-0.61
BB11_,Mining,Plant and machine operators and assemblers,12,0.43,-0.59
CC1_,Meat product manufacturing and seafood processing,Clerks,45,0.38,-1.07
CC1_,Meat product manufacturing and seafood processing,Trades workers,33,0.4,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,132,0.39,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),90,0.38,-0.97
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,42,0.41,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,168,0.46,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,213,0.43,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,192,0.42,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),246,0.43,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,138,0.41,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,177,0.44,-0.26
CC311,Wood product manufacturing,Trades workers,90,0.37,-1.16
CC311,Wood product manufacturing,Plant and machine operators and assemblers,51,0.4,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),51,0.39,-0.99
CC321,"Pulp, paper and converted paper product manufacturing",Plant and machine operators and assemblers,36,0.42,-0.75
CC411,Printing,Clerks,108,0.47,-0.02
CC411,Printing,Trades workers,309,0.48,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,195,0.46,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,192,0.46,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,81,0.41,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,258,0.43,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),252,0.44,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,99,0.4,-0.85
CC711,Primary metal and metal product manufacturing,Plant and machine operators and assemblers,48,0.43,-0.68
CC721,Fabricated metal product manufacturing,Legislators,372,0.47,-0.35
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,147,0.43,-0.72
CC721,Fabricated metal product manufacturing,Clerks,156,0.45,-0.49
CC721,Fabricated metal product manufacturing,Trades workers,276,0.38,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,303,0.43,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),171,0.41,-0.93
CC811,Transport equipment manufacturing,Trades workers,138,0.43,-0.47
CC811,Transport equipment manufacturing,Plant and machine operators and assemblers,63,0.39,-1.06
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,138,0.42,-0.66
CC822,Machinery manufacturing,Legislators,234,0.43,-0.67
CC822,Machinery manufacturing,Technicians and associate professionals,99,0.39,-1.04
CC822,Machinery manufacturing,Clerks,75,0.39,-1.07
CC822,Machinery manufacturing,Trades workers,132,0.37,-1.23
CC822,Machinery manufacturing,Plant and machine operators and assemblers,120,0.4,-0.85
CC91_,Furniture and other manufacturing,Trades workers,279,0.45,-0.25
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,156,0.45,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,111,0.42,-0.75
DD1_,"Electricity, gas, water and waste services",Plant and machine operators and assemblers,66,0.38,-1.05
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),96,0.38,-1
EE1_,Other construction,Legislators,1080,0.43,-0.5
EE1_,Other construction,Technicians and associate professionals,663,0.4,-0.87
EE1_,Other construction,Clerks,429,0.39,-0.99
EE1_,Other construction,Trades workers,2139,0.37,-0.93
EE1_,Other construction,Plant and machine operators and assemblers,780,0.37,-1.12
EE1_,Other construction,Elementary occupations (inc. residuals),675,0.38,-0.96
EE110,Residential building construction,Clerks,105,0.42,-0.45
