ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,567,0.49,-0.66
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,225,0.48,-0.92
AA131,Dairy cattle farming,Agriculture and fishery workers,96,0.49,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,144,0.48,-0.97
AA211,Forestry and logging,Agriculture and fishery workers,27,0.48,-0.5
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,99,0.48,-0.61
BB11_,Mining,Plant and machine operators and assemblers,48,0.49,-0.59
CC1_,Meat product manufacturing and seafood processing,Trades workers,84,0.48,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,621,0.48,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),435,0.48,-0.97
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,144,0.48,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,288,0.52,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,135,0.5,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,345,0.49,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),378,0.49,-0.58
CC311,Wood product manufacturing,Plant and machine operators and assemblers,258,0.49,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),165,0.48,-0.99
CC321,"Pulp, paper and converted paper product manufacturing",Plant and machine operators and assemblers,87,0.49,-0.75
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,99,0.5,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,159,0.51,-0.35
CC711,Primary metal and metal product manufacturing,Plant and machine operators and assemblers,72,0.49,-0.68
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,144,0.49,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,108,0.48,-0.75
DD1_,"Electricity, gas, water and waste services",Plant and machine operators and assemblers,147,0.48,-1.05
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),162,0.47,-1
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,858,0.54,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,588,0.53,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,402,0.52,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,363,0.52,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),171,0.52,0.41
FF110,Other goods and commission based wholesaling,Legislators,789,0.54,1.74
FF110,Other goods and commission based wholesaling,Clerks,360,0.53,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,285,0.54,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),201,0.52,0.76
FF111,Basic material wholesaling,Service and sales workers,147,0.51,-0.78
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,357,0.54,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,198,0.52,0.83
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,210,0.49,-0.22
GH111,Motor vehicle and parts retailing,Legislators,309,0.49,-1
GH111,Motor vehicle and parts retailing,Service and sales workers,246,0.5,-0.79
GH111,Motor vehicle and parts retailing,Trades workers,237,0.48,-1.12
GH111,Motor vehicle and parts retailing,Elementary occupations (inc. residuals),126,0.49,-1.16
GH121,Supermarket and grocery stores,Legislators,723,0.49,-0.79
GH122,Specialised food retailing,Legislators,273,0.53,0.72
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,597,0.54,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,318,0.53,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,174,0.53,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,942,0.54,1.27
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),162,0.52,-0.21
GH131,"Furniture, electrical and hardware retailing",Legislators,684,0.52,0.29
GH131,"Furniture, electrical and hardware retailing",Elementary occupations (inc. residuals),165,0.5,-0.58
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,861,0.53,1.61
GH133,Department stores,Clerks,207,0.48,-1.01
