ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,60,0.5,-0.66
AA131,Dairy cattle farming,Agriculture and fishery workers,42,0.52,-0.47
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,48,0.51,-0.61
CC1_,Meat product manufacturing and seafood processing,Clerks,21,0.48,-1.07
CC1_,Meat product manufacturing and seafood processing,Trades workers,12,0.49,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,147,0.49,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),90,0.49,-0.97
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,15,0.5,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,87,0.5,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,42,0.48,-0.25
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,42,0.48,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,36,0.47,-0.26
CC311,Wood product manufacturing,Trades workers,72,0.49,-1.16
CC311,Wood product manufacturing,Plant and machine operators and assemblers,72,0.51,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),48,0.5,-0.99
CC411,Printing,Trades workers,54,0.46,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,42,0.48,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,21,0.49,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,33,0.49,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,15,0.47,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,21,0.49,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,42,0.47,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),39,0.47,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,15,0.46,-0.85
CC721,Fabricated metal product manufacturing,Legislators,99,0.49,-0.35
CC721,Fabricated metal product manufacturing,Clerks,42,0.49,-0.49
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,87,0.48,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),51,0.48,-0.93
CC811,Transport equipment manufacturing,Trades workers,39,0.49,-0.47
CC811,Transport equipment manufacturing,Plant and machine operators and assemblers,24,0.49,-1.06
CC821,Electronic and electrical equipment manufacturing,Legislators,42,0.5,0.88
CC821,Electronic and electrical equipment manufacturing,Clerks,15,0.47,-0.45
CC821,Electronic and electrical equipment manufacturing,Elementary occupations (inc. residuals),12,0.48,-0.39
CC822,Machinery manufacturing,Legislators,48,0.5,-0.67
CC822,Machinery manufacturing,Technicians and associate professionals,33,0.49,-1.04
CC822,Machinery manufacturing,Clerks,21,0.48,-1.07
