ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,27,0.56,-0.66
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,9,0.47,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,6,0.54,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),12,0.54,-0.58
CC311,Wood product manufacturing,Plant and machine operators and assemblers,9,0.57,-0.84
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,9,0.5,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,6,0.54,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,6,0.52,-0.22
CC91_,Furniture and other manufacturing,Trades workers,9,0.52,-0.25
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),6,0.56,-1
EE1_,Other construction,Technicians and associate professionals,27,0.57,-0.87
EE1_,Other construction,Clerks,21,0.57,-0.99
EE110,Residential building construction,Trades workers,63,0.54,-0.61
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,21,0.49,0.76
FF110,Other goods and commission based wholesaling,Legislators,15,0.45,1.74
FF110,Other goods and commission based wholesaling,Service and sales workers,9,0.47,1.41
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,15,0.46,1.64
GH122,Specialised food retailing,Legislators,9,0.5,0.72
GH122,Specialised food retailing,Service and sales workers,9,0.49,0.7
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,21,0.48,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,12,0.45,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,24,0.49,1.27
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,18,0.46,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,39,0.49,0.8
GH21_,Accomodation and food services,Legislators,60,0.49,0.97
GH21_,Accomodation and food services,Clerks,18,0.47,1.09
GH21_,Accomodation and food services,Service and sales workers,171,0.45,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),21,0.55,-0.6
II111,Road transport,Elementary occupations (inc. residuals),12,0.56,-1.06
JJ11_,Information media services,Technicians and associate professionals,18,0.42,1.92
KK1_,Other financial and insurance services,Legislators,9,0.43,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,24,0.44,1.57
KK1_,Other financial and insurance services,Clerks,9,0.43,1.81
KK110,Banking and financing; financial asset investing,Legislators,12,0.43,2.01
KK110,Banking and financing; financial asset investing,Professionals,12,0.41,1.9
KK110,Banking and financing; financial asset investing,Clerks,24,0.42,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,24,0.47,1.63
MN11_,"Professional, scientific and technical services",Professionals,105,0.42,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,57,0.42,1.99
MN11_,"Professional, scientific and technical services",Clerks,66,0.42,1.9
MN21_,Administrative and support services,Technicians and associate professionals,18,0.43,2
MN21_,Administrative and support services,Clerks,18,0.44,1.53
MN21_,Administrative and support services,Service and sales workers,9,0.46,1.59
MN21_,Administrative and support services,Elementary occupations (inc. residuals),63,0.56,-0.93
OO111,Local government administration,Professionals,9,0.5,0.85
OO111,Local government administration,Technicians and associate professionals,9,0.56,-0.64
OO211,Central government administration and justice,Legislators,9,0.45,0.63
OO211,Central government administration and justice,Professionals,18,0.45,0.68
OO211,Central government administration and justice,Technicians and associate professionals,27,0.5,-0.23
PP11_,Education and training,Legislators,54,0.49,1.12
PP11_,Education and training,Professionals,294,0.53,0.34
PP11_,Education and training,Clerks,30,0.5,0.69
PP11_,Education and training,Service and sales workers,18,0.56,-0.29
QQ11_,Health care and social assistance,Professionals,231,0.51,0.53
RS11_,Arts and recreational services,Technicians and associate professionals,33,0.44,1.4
RS211,Repair and maintenance,Clerks,6,0.58,-0.93
RS219,"Religious services; civil, professional and other interest groups",Legislators,12,0.42,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,15,0.43,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,15,0.45,1.15
