ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,12,0.53,-0.83
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,6,0.49,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,9,0.5,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,15,0.51,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),15,0.5,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,9,0.51,-0.85
CC721,Fabricated metal product manufacturing,Legislators,9,0.52,-0.35
CC721,Fabricated metal product manufacturing,Clerks,6,0.52,-0.49
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,6,0.52,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),9,0.53,-0.93
CC811,Transport equipment manufacturing,Trades workers,9,0.52,-0.47
CC822,Machinery manufacturing,Legislators,12,0.54,-0.67
CC822,Machinery manufacturing,Plant and machine operators and assemblers,9,0.51,-0.85
CC91_,Furniture and other manufacturing,Trades workers,9,0.5,-0.25
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,9,0.53,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,9,0.53,-0.75
EE1_,Other construction,Legislators,78,0.51,-0.5
EE1_,Other construction,Professionals,30,0.52,-0.13
EE1_,Other construction,Technicians and associate professionals,48,0.52,-0.87
EE1_,Other construction,Trades workers,231,0.52,-0.93
EE113,Non-residential building construction,Trades workers,24,0.53,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,36,0.48,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,18,0.49,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,12,0.49,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,12,0.52,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,21,0.53,-1.12
FF110,Other goods and commission based wholesaling,Legislators,18,0.47,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,12,0.47,1.28
FF110,Other goods and commission based wholesaling,Clerks,9,0.48,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,15,0.48,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),12,0.48,0.76
FF111,Basic material wholesaling,Legislators,30,0.51,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,18,0.53,-0.71
FF111,Basic material wholesaling,Clerks,12,0.51,-0.44
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,15,0.49,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,9,0.51,0.83
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,12,0.51,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,15,0.53,-0.22
FF114,"Grocery, liquor and tobacco product wholesaling",Plant and machine operators and assemblers,9,0.53,-0.95
FF114,"Grocery, liquor and tobacco product wholesaling",Elementary occupations (inc. residuals),18,0.52,-0.42
GH121,Supermarket and grocery stores,Legislators,54,0.55,-0.79
GH121,Supermarket and grocery stores,Clerks,72,0.54,-1.08
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,33,0.5,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,21,0.49,1.7
GH131,"Furniture, electrical and hardware retailing",Legislators,48,0.53,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,18,0.51,0.42
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,63,0.53,-0.62
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,63,0.5,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,9,0.48,0.31
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,102,0.5,0.8
GH21_,Accomodation and food services,Legislators,153,0.52,0.97
GH21_,Accomodation and food services,Clerks,27,0.5,1.09
GH21_,Accomodation and food services,Service and sales workers,384,0.49,1.4
II123,Air and space transport,Technicians and associate professionals,18,0.47,0.71
II13_,"Postal, courier transport support and warehousing services",Clerks,39,0.49,-0.09
JJ11_,Information media services,Technicians and associate professionals,54,0.46,1.92
KK1_,Other financial and insurance services,Legislators,12,0.46,1.91
