ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,6,0.48,0.41
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,6,0.56,-0.71
EE1_,Other construction,Legislators,21,0.56,-0.5
EE1_,Other construction,Professionals,9,0.54,-0.13
EE1_,Other construction,Technicians and associate professionals,18,0.58,-0.87
EE1_,Other construction,Elementary occupations (inc. residuals),21,0.58,-0.96
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,9,0.47,0.76
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,9,0.44,1.28
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,12,0.46,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,9,0.56,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,21,0.47,1.27
GH131,"Furniture, electrical and hardware retailing",Legislators,12,0.55,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,6,0.51,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,15,0.45,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,30,0.48,0.8
GH21_,Accomodation and food services,Clerks,9,0.46,1.09
II13_,"Postal, courier transport support and warehousing services",Clerks,18,0.5,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),9,0.54,-0.61
JJ11_,Information media services,Technicians and associate professionals,12,0.4,1.92
KK1_,Other financial and insurance services,Technicians and associate professionals,9,0.42,1.57
KK110,Banking and financing; financial asset investing,Legislators,12,0.4,2.01
KK110,Banking and financing; financial asset investing,Professionals,6,0.39,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,12,0.39,1.86
KK110,Banking and financing; financial asset investing,Clerks,15,0.39,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,15,0.45,1.63
LL12_,Property operators and real estate services,Clerks,9,0.5,0.85
MN11_,"Professional, scientific and technical services",Professionals,57,0.39,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,21,0.4,1.99
MN11_,"Professional, scientific and technical services",Clerks,51,0.4,1.9
MN21_,Administrative and support services,Technicians and associate professionals,12,0.4,2
MN21_,Administrative and support services,Clerks,6,0.41,1.53
MN21_,Administrative and support services,Elementary occupations (inc. residuals),24,0.57,-0.93
OO21_,Public safety and defence,Service and sales workers,27,0.55,-0.29
PP11_,Education and training,Legislators,18,0.47,1.12
PP11_,Education and training,Professionals,138,0.53,0.34
PP11_,Education and training,Technicians and associate professionals,39,0.55,-0.3
PP11_,Education and training,Clerks,12,0.48,0.69
PP11_,Education and training,Service and sales workers,12,0.57,-0.29
QQ11_,Health care and social assistance,Legislators,15,0.56,-0.08
QQ11_,Health care and social assistance,Professionals,78,0.51,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,60,0.61,-0.95
QQ11_,Health care and social assistance,Clerks,24,0.61,-1.07
RS11_,Arts and recreational services,Technicians and associate professionals,15,0.43,1.4
RS219,"Religious services; civil, professional and other interest groups",Professionals,9,0.4,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,9,0.43,1.15
