ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,6,0.51,-0.56
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,6,0.46,0.41
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,15,0.45,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,12,0.46,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,9,0.46,0.42
FF111,Basic material wholesaling,Legislators,9,0.49,0.38
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,15,0.47,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,6,0.45,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,21,0.49,1.27
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,21,0.48,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,36,0.51,0.8
II13_,"Postal, courier transport support and warehousing services",Clerks,15,0.47,-0.09
KK1_,Other financial and insurance services,Technicians and associate professionals,12,0.44,1.57
KK110,Banking and financing; financial asset investing,Legislators,12,0.42,2.01
KK110,Banking and financing; financial asset investing,Professionals,6,0.41,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,9,0.4,1.86
KK110,Banking and financing; financial asset investing,Clerks,21,0.4,1.7
MN11_,"Professional, scientific and technical services",Professionals,57,0.43,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,33,0.43,1.99
MN11_,"Professional, scientific and technical services",Clerks,48,0.43,1.9
MN21_,Administrative and support services,Technicians and associate professionals,15,0.42,2
MN21_,Administrative and support services,Clerks,9,0.42,1.53
OO21_,Public safety and defence,Service and sales workers,36,0.54,-0.29
OO211,Central government administration and justice,Technicians and associate professionals,15,0.51,-0.23
OO211,Central government administration and justice,Clerks,15,0.49,0.18
PP11_,Education and training,Professionals,195,0.56,0.34
PP11_,Education and training,Service and sales workers,12,0.56,-0.29
RS11_,Arts and recreational services,Technicians and associate professionals,27,0.46,1.4
RS11_,Arts and recreational services,Clerks,6,0.48,1.25
RS219,"Religious services; civil, professional and other interest groups",Professionals,12,0.44,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,6,0.47,1.15
