ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,258,0.49,-0.66
AA211,Forestry and logging,Agriculture and fishery workers,18,0.5,-0.5
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,93,0.49,-0.61
CC1_,Meat product manufacturing and seafood processing,Trades workers,42,0.48,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,354,0.48,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),126,0.48,-0.97
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,87,0.51,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,36,0.49,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,69,0.47,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,75,0.48,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,84,0.48,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),81,0.48,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,30,0.48,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,27,0.48,-0.26
CC311,Wood product manufacturing,Trades workers,84,0.48,-1.16
CC311,Wood product manufacturing,Plant and machine operators and assemblers,69,0.49,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),66,0.48,-0.99
CC411,Printing,Clerks,33,0.49,-0.02
CC411,Printing,Trades workers,78,0.48,0.2
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,84,0.51,0.42
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,63,0.48,-0.66
CC91_,Furniture and other manufacturing,Legislators,51,0.51,0.72
CC91_,Furniture and other manufacturing,Trades workers,108,0.49,-0.25
CC91_,Furniture and other manufacturing,Plant and machine operators and assemblers,24,0.48,-0.37
CC91_,Furniture and other manufacturing,Elementary occupations (inc. residuals),21,0.49,0.13
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),75,0.48,-1
EE1_,Other construction,Trades workers,1491,0.47,-0.93
EE1_,Other construction,Elementary occupations (inc. residuals),444,0.47,-0.96
EE110,Residential building construction,Trades workers,774,0.47,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),99,0.48,-0.44
EE113,Non-residential building construction,Trades workers,144,0.47,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),90,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,174,0.53,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,159,0.52,1.28
FF110,Other goods and commission based wholesaling,Clerks,75,0.51,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,123,0.53,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),63,0.51,0.76
FF111,Basic material wholesaling,Legislators,204,0.52,0.38
FF111,Basic material wholesaling,Plant and machine operators and assemblers,42,0.48,-0.88
FF111,Basic material wholesaling,Elementary occupations (inc. residuals),57,0.49,-0.63
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,162,0.54,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,126,0.5,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,93,0.5,-0.22
FF114,"Grocery, liquor and tobacco product wholesaling",Elementary occupations (inc. residuals),90,0.5,-0.42
GH121,Supermarket and grocery stores,Legislators,366,0.5,-0.79
GH121,Supermarket and grocery stores,Clerks,516,0.48,-1.08
GH121,Supermarket and grocery stores,Service and sales workers,603,0.48,-0.92
GH121,Supermarket and grocery stores,Elementary occupations (inc. residuals),84,0.48,-1.15
GH122,Specialised food retailing,Service and sales workers,114,0.5,0.7
GH122,Specialised food retailing,Trades workers,36,0.48,-0.89
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,294,0.54,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,135,0.53,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,162,0.52,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,369,0.53,1.27
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),69,0.51,-0.21
GH131,"Furniture, electrical and hardware retailing",Legislators,306,0.52,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,159,0.51,0.42
GH131,"Furniture, electrical and hardware retailing",Clerks,153,0.49,-0.99
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,444,0.49,-0.62
GH131,"Furniture, electrical and hardware retailing",Trades workers,42,0.48,-1.15
GH131,"Furniture, electrical and hardware retailing",Elementary occupations (inc. residuals),54,0.48,-0.58
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,51,0.5,0.31
GH133,Department stores,Clerks,99,0.48,-1.01
GH21_,Accomodation and food services,Legislators,876,0.51,0.97
GH21_,Accomodation and food services,Service and sales workers,2268,0.51,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),291,0.49,-0.6
II111,Road transport,Legislators,114,0.5,-0.57
II111,Road transport,Clerks,69,0.48,-0.55
II111,Road transport,Plant and machine operators and assemblers,612,0.48,-1.13
II111,Road transport,Elementary occupations (inc. residuals),165,0.48,-1.06
II123,Air and space transport,Technicians and associate professionals,42,0.49,0.71
II123,Air and space transport,Service and sales workers,18,0.52,1.33
II13_,"Postal, courier transport support and warehousing services",Clerks,285,0.49,-0.09
II13_,"Postal, courier transport support and warehousing services",Plant and machine operators and assemblers,93,0.47,-0.63
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),231,0.48,-0.61
JJ11_,Information media services,Technicians and associate professionals,153,0.51,1.92
JJ11_,Information media services,Clerks,39,0.52,1.89
JJ11_,Information media services,Elementary occupations (inc. residuals),27,0.52,0.42
JJ120,Telecommunications services including internet service providers,Legislators,69,0.51,2
JJ120,Telecommunications services including internet service providers,Professionals,93,0.5,1.92
JJ120,Telecommunications services including internet service providers,Technicians and associate professionals,132,0.52,1.59
JJ120,Telecommunications services including internet service providers,Clerks,48,0.49,1.09
JJ123,Library and other information services,Clerks,18,0.48,1.03
KK1_,Other financial and insurance services,Legislators,135,0.52,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,381,0.51,1.57
KK1_,Other financial and insurance services,Clerks,147,0.51,1.81
KK110,Banking and financing; financial asset investing,Legislators,336,0.53,2.01
KK110,Banking and financing; financial asset investing,Professionals,150,0.5,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,147,0.51,1.86
KK110,Banking and financing; financial asset investing,Clerks,348,0.5,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,375,0.54,1.63
LL12_,Property operators and real estate services,Clerks,171,0.53,0.85
MN11_,"Professional, scientific and technical services",Professionals,2484,0.51,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,1107,0.52,1.99
MN11_,"Professional, scientific and technical services",Clerks,879,0.51,1.9
MN21_,Administrative and support services,Technicians and associate professionals,321,0.53,2
MN21_,Administrative and support services,Clerks,285,0.51,1.53
MN21_,Administrative and support services,Service and sales workers,183,0.53,1.59
MN21_,Administrative and support services,Elementary occupations (inc. residuals),771,0.48,-0.93
OO111,Local government administration,Technicians and associate professionals,144,0.49,-0.64
OO21_,Public safety and defence,Clerks,111,0.46,0.25
OO21_,Public safety and defence,Service and sales workers,708,0.49,-0.29
OO211,Central government administration and justice,Legislators,186,0.47,0.63
OO211,Central government administration and justice,Professionals,387,0.47,0.68
QQ11_,Health care and social assistance,Service and sales workers,1878,0.49,-1.19
QQ11_,Health care and social assistance,Elementary occupations (inc. residuals),237,0.48,-1.16
RS11_,Arts and recreational services,Technicians and associate professionals,486,0.49,1.4
RS11_,Arts and recreational services,Service and sales workers,153,0.5,1.1
RS210,Personal services; domestic household staff,Service and sales workers,504,0.49,-0.57
RS210,Personal services; domestic household staff,Plant and machine operators and assemblers,72,0.49,-0.88
RS211,Repair and maintenance,Trades workers,585,0.48,-1.09
RS219,"Religious services; civil, professional and other interest groups",Legislators,207,0.49,1.52
