ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA131,Dairy cattle farming,Agriculture and fishery workers,12,0.52,-0.47
BB11_,Mining,Plant and machine operators and assemblers,9,0.52,-0.59
CC1_,Meat product manufacturing and seafood processing,Clerks,12,0.52,-1.07
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,21,0.5,-0.26
CC311,Wood product manufacturing,Trades workers,30,0.52,-1.16
CC311,Wood product manufacturing,Plant and machine operators and assemblers,36,0.52,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),27,0.52,-0.99
CC411,Printing,Trades workers,21,0.49,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,36,0.52,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,18,0.52,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,27,0.53,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,15,0.52,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,15,0.52,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,45,0.52,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),27,0.52,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,15,0.51,-0.85
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,21,0.53,-0.72
CC721,Fabricated metal product manufacturing,Clerks,18,0.53,-0.49
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,51,0.53,-0.71
CC811,Transport equipment manufacturing,Trades workers,15,0.52,-0.47
CC821,Electronic and electrical equipment manufacturing,Legislators,15,0.51,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,12,0.51,0.42
CC821,Electronic and electrical equipment manufacturing,Clerks,9,0.52,-0.45
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,9,0.51,-0.66
CC821,Electronic and electrical equipment manufacturing,Elementary occupations (inc. residuals),12,0.53,-0.39
CC822,Machinery manufacturing,Technicians and associate professionals,18,0.53,-1.04
CC822,Machinery manufacturing,Clerks,15,0.53,-1.07
CC91_,Furniture and other manufacturing,Legislators,12,0.52,0.72
CC91_,Furniture and other manufacturing,Trades workers,36,0.51,-0.25
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,21,0.52,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,18,0.52,-0.75
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),15,0.51,-1
EE1_,Other construction,Legislators,129,0.51,-0.5
EE1_,Other construction,Professionals,72,0.52,-0.13
EE1_,Other construction,Technicians and associate professionals,90,0.51,-0.87
EE1_,Other construction,Clerks,72,0.52,-0.99
EE1_,Other construction,Trades workers,504,0.5,-0.93
EE1_,Other construction,Plant and machine operators and assemblers,252,0.51,-1.12
EE1_,Other construction,Elementary occupations (inc. residuals),165,0.5,-0.96
EE110,Residential building construction,Clerks,21,0.49,-0.45
EE110,Residential building construction,Trades workers,264,0.49,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),36,0.49,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,90,0.51,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,42,0.51,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,33,0.52,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,45,0.53,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),18,0.52,0.41
FF110,Other goods and commission based wholesaling,Legislators,84,0.5,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,39,0.5,1.28
FF110,Other goods and commission based wholesaling,Clerks,48,0.51,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,39,0.51,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),15,0.52,0.76
FF111,Basic material wholesaling,Legislators,81,0.53,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,39,0.54,-0.71
FF111,Basic material wholesaling,Elementary occupations (inc. residuals),21,0.53,-0.63
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,63,0.51,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,27,0.52,0.83
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,42,0.51,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,33,0.52,-0.22
GH111,Motor vehicle and parts retailing,Legislators,51,0.53,-1
GH111,Motor vehicle and parts retailing,Clerks,15,0.53,-0.79
GH111,Motor vehicle and parts retailing,Service and sales workers,36,0.54,-0.79
GH111,Motor vehicle and parts retailing,Elementary occupations (inc. residuals),18,0.53,-1.16
GH121,Supermarket and grocery stores,Legislators,114,0.54,-0.79
GH122,Specialised food retailing,Legislators,27,0.52,0.72
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,99,0.52,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,42,0.51,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,45,0.53,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,18,0.53,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,108,0.52,1.27
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),15,0.53,-0.21
GH131,"Furniture, electrical and hardware retailing",Legislators,99,0.53,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,54,0.52,0.42
GH131,"Furniture, electrical and hardware retailing",Clerks,48,0.53,-0.99
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,153,0.51,-0.62
GH131,"Furniture, electrical and hardware retailing",Elementary occupations (inc. residuals),24,0.52,-0.58
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,108,0.51,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,18,0.51,0.31
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,174,0.49,0.8
GH133,Department stores,Clerks,24,0.51,-1.01
GH21_,Accomodation and food services,Legislators,261,0.5,0.97
GH21_,Accomodation and food services,Clerks,57,0.49,1.09
GH21_,Accomodation and food services,Service and sales workers,639,0.48,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),108,0.51,-0.6
II111,Road transport,Plant and machine operators and assemblers,243,0.52,-1.13
II111,Road transport,Elementary occupations (inc. residuals),39,0.52,-1.06
II123,Air and space transport,Technicians and associate professionals,30,0.5,0.71
II13_,"Postal, courier transport support and warehousing services",Clerks,75,0.51,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),87,0.52,-0.61
JJ11_,Information media services,Technicians and associate professionals,57,0.47,1.92
JJ11_,Information media services,Clerks,15,0.48,1.89
JJ120,Telecommunications services including internet service providers,Legislators,15,0.47,2
JJ120,Telecommunications services including internet service providers,Professionals,9,0.46,1.92
JJ120,Telecommunications services including internet service providers,Technicians and associate professionals,12,0.48,1.59
JJ123,Library and other information services,Clerks,9,0.46,1.03
KK1_,Other financial and insurance services,Legislators,42,0.48,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,75,0.47,1.57
KK1_,Other financial and insurance services,Clerks,24,0.47,1.81
KK110,Banking and financing; financial asset investing,Legislators,93,0.49,2.01
KK110,Banking and financing; financial asset investing,Professionals,33,0.47,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,33,0.47,1.86
KK110,Banking and financing; financial asset investing,Clerks,123,0.48,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,150,0.51,1.63
LL12_,Property operators and real estate services,Clerks,54,0.52,0.85
MN11_,"Professional, scientific and technical services",Professionals,558,0.46,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,255,0.47,1.99
MN11_,"Professional, scientific and technical services",Clerks,279,0.47,1.9
MN21_,Administrative and support services,Professionals,48,0.48,2.02
MN21_,Administrative and support services,Technicians and associate professionals,87,0.49,2
MN21_,Administrative and support services,Clerks,108,0.49,1.53
MN21_,Administrative and support services,Service and sales workers,45,0.5,1.59
OO111,Local government administration,Professionals,69,0.5,0.85
OO111,Local government administration,Technicians and associate professionals,42,0.5,-0.64
OO111,Local government administration,Clerks,27,0.52,-0.5
OO21_,Public safety and defence,Clerks,36,0.46,0.25
OO211,Central government administration and justice,Legislators,24,0.45,0.63
OO211,Central government administration and justice,Professionals,63,0.45,0.68
OO211,Central government administration and justice,Technicians and associate professionals,102,0.47,-0.23
OO211,Central government administration and justice,Clerks,27,0.46,0.18
OO211,Central government administration and justice,Service and sales workers,18,0.48,-0.24
PP11_,Education and training,Legislators,216,0.5,1.12
PP11_,Education and training,Technicians and associate professionals,327,0.51,-0.3
PP11_,Education and training,Clerks,132,0.5,0.69
QQ11_,Health care and social assistance,Plant and machine operators and assemblers,18,0.52,-1.18
RS11_,Arts and recreational services,Technicians and associate professionals,135,0.46,1.4
RS11_,Arts and recreational services,Clerks,36,0.47,1.25
RS11_,Arts and recreational services,Service and sales workers,33,0.47,1.1
RS210,Personal services; domestic household staff,Plant and machine operators and assemblers,24,0.53,-0.88
RS211,Repair and maintenance,Clerks,27,0.53,-0.93
RS219,"Religious services; civil, professional and other interest groups",Legislators,48,0.46,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,84,0.47,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,42,0.47,1.15
RS219,"Religious services; civil, professional and other interest groups",Clerks,30,0.46,1.03
