ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),6,0.54,-0.58
CC721,Fabricated metal product manufacturing,Trades workers,12,0.58,-1.14
EE1_,Other construction,Legislators,27,0.54,-0.5
EE1_,Other construction,Professionals,9,0.53,-0.13
EE1_,Other construction,Technicians and associate professionals,18,0.56,-0.87
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,24,0.48,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,9,0.49,0.76
FF110,Other goods and commission based wholesaling,Legislators,9,0.44,1.74
FF110,Other goods and commission based wholesaling,Clerks,9,0.47,1.04
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,15,0.48,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,9,0.45,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,9,0.54,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,24,0.48,1.27
GH131,"Furniture, electrical and hardware retailing",Legislators,12,0.54,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,9,0.51,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,15,0.46,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,21,0.48,0.8
GH21_,Accomodation and food services,Legislators,60,0.49,0.97
GH21_,Accomodation and food services,Clerks,9,0.48,1.09
GH21_,Accomodation and food services,Service and sales workers,117,0.45,1.4
II13_,"Postal, courier transport support and warehousing services",Clerks,15,0.51,-0.09
JJ11_,Information media services,Technicians and associate professionals,9,0.42,1.92
KK1_,Other financial and insurance services,Technicians and associate professionals,6,0.44,1.57
KK110,Banking and financing; financial asset investing,Legislators,15,0.43,2.01
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,15,0.42,1.86
KK110,Banking and financing; financial asset investing,Clerks,15,0.42,1.7
MN11_,"Professional, scientific and technical services",Professionals,75,0.42,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,33,0.42,1.99
MN11_,"Professional, scientific and technical services",Clerks,42,0.43,1.9
MN21_,Administrative and support services,Technicians and associate professionals,9,0.43,2
MN21_,Administrative and support services,Clerks,9,0.44,1.53
MN21_,Administrative and support services,Elementary occupations (inc. residuals),39,0.55,-0.93
OO111,Local government administration,Technicians and associate professionals,6,0.55,-0.64
OO21_,Public safety and defence,Service and sales workers,27,0.54,-0.29
OO211,Central government administration and justice,Technicians and associate professionals,18,0.5,-0.23
OO211,Central government administration and justice,Clerks,6,0.49,0.18
PP11_,Education and training,Legislators,33,0.49,1.12
PP11_,Education and training,Professionals,198,0.53,0.34
PP11_,Education and training,Technicians and associate professionals,45,0.54,-0.3
PP11_,Education and training,Clerks,27,0.49,0.69
QQ11_,Health care and social assistance,Legislators,27,0.54,-0.08
QQ11_,Health care and social assistance,Professionals,108,0.52,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,78,0.57,-0.95
QQ11_,Health care and social assistance,Clerks,24,0.58,-1.07
RS11_,Arts and recreational services,Technicians and associate professionals,15,0.43,1.4
RS11_,Arts and recreational services,Service and sales workers,9,0.46,1.1
RS219,"Religious services; civil, professional and other interest groups",Professionals,15,0.43,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,9,0.44,1.15
RS219,"Religious services; civil, professional and other interest groups",Clerks,6,0.45,1.03
