ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,36,0.53,-0.66
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,21,0.52,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,24,0.48,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,36,0.51,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,24,0.52,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),36,0.52,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,15,0.52,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,21,0.51,-0.26
CC411,Printing,Clerks,12,0.51,-0.02
CC411,Printing,Trades workers,24,0.49,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,15,0.51,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,12,0.53,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,12,0.51,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,12,0.53,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,15,0.52,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),12,0.51,-0.44
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,18,0.54,-0.72
CC821,Electronic and electrical equipment manufacturing,Legislators,9,0.51,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,15,0.51,0.42
CC822,Machinery manufacturing,Legislators,21,0.54,-0.67
CC822,Machinery manufacturing,Technicians and associate professionals,9,0.53,-1.04
CC822,Machinery manufacturing,Plant and machine operators and assemblers,9,0.52,-0.85
CC91_,Furniture and other manufacturing,Legislators,12,0.51,0.72
