ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,18,0.48,-0.66
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,27,0.49,-0.92
AA131,Dairy cattle farming,Agriculture and fishery workers,9,0.5,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,9,0.48,-0.97
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,9,0.49,-0.61
BB11_,Mining,Plant and machine operators and assemblers,6,0.49,-0.59
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,9,0.47,-0.85
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,18,0.49,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,18,0.49,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,18,0.46,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,12,0.46,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),9,0.46,-0.58
CC311,Wood product manufacturing,Plant and machine operators and assemblers,9,0.48,-0.84
CC411,Printing,Trades workers,27,0.48,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,9,0.49,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,12,0.48,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,12,0.47,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,9,0.48,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,12,0.47,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),9,0.46,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,12,0.46,-0.85
CC721,Fabricated metal product manufacturing,Legislators,24,0.49,-0.35
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,9,0.48,-0.72
CC721,Fabricated metal product manufacturing,Clerks,12,0.48,-0.49
CC721,Fabricated metal product manufacturing,Trades workers,27,0.47,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,21,0.47,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),15,0.47,-0.93
CC811,Transport equipment manufacturing,Trades workers,9,0.49,-0.47
CC821,Electronic and electrical equipment manufacturing,Legislators,15,0.51,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,9,0.48,0.42
CC822,Machinery manufacturing,Legislators,9,0.48,-0.67
CC822,Machinery manufacturing,Trades workers,12,0.47,-1.23
CC91_,Furniture and other manufacturing,Legislators,15,0.5,0.72
CC91_,Furniture and other manufacturing,Trades workers,18,0.48,-0.25
CC91_,Furniture and other manufacturing,Plant and machine operators and assemblers,6,0.46,-0.37
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,15,0.5,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,9,0.48,-0.75
DD1_,"Electricity, gas, water and waste services",Plant and machine operators and assemblers,18,0.47,-1.05
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),15,0.47,-1
EE1_,Other construction,Professionals,45,0.5,-0.13
EE1_,Other construction,Elementary occupations (inc. residuals),96,0.47,-0.96
EE113,Non-residential building construction,Trades workers,30,0.47,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,78,0.52,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,33,0.5,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,18,0.49,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,30,0.48,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,15,0.46,-1.12
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),9,0.48,0.41
FF110,Other goods and commission based wholesaling,Legislators,51,0.53,1.74
FF110,Other goods and commission based wholesaling,Clerks,18,0.5,1.04
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),12,0.5,0.76
FF111,Basic material wholesaling,Legislators,39,0.5,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,15,0.48,-0.71
FF111,Basic material wholesaling,Clerks,9,0.47,-0.44
FF111,Basic material wholesaling,Service and sales workers,12,0.48,-0.78
FF111,Basic material wholesaling,Plant and machine operators and assemblers,6,0.46,-0.88
FF111,Basic material wholesaling,Elementary occupations (inc. residuals),12,0.47,-0.63
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,30,0.53,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,9,0.48,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,18,0.49,-0.22
GH111,Motor vehicle and parts retailing,Service and sales workers,24,0.5,-0.79
GH111,Motor vehicle and parts retailing,Trades workers,24,0.48,-1.12
