ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,9,0.5,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,9,0.54,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,9,0.55,-0.61
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,9,0.49,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),9,0.52,-0.44
CC721,Fabricated metal product manufacturing,Trades workers,15,0.58,-1.14
CC811,Transport equipment manufacturing,Trades workers,9,0.55,-0.47
EE1_,Other construction,Legislators,33,0.55,-0.5
EE1_,Other construction,Professionals,9,0.54,-0.13
EE1_,Other construction,Technicians and associate professionals,27,0.57,-0.87
EE1_,Other construction,Clerks,21,0.58,-0.99
EE113,Non-residential building construction,Trades workers,12,0.57,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,24,0.46,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,15,0.48,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,9,0.49,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,6,0.55,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,9,0.58,-1.12
FF110,Other goods and commission based wholesaling,Legislators,9,0.43,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,12,0.45,1.28
FF110,Other goods and commission based wholesaling,Service and sales workers,9,0.45,1.41
FF111,Basic material wholesaling,Technicians and associate professionals,6,0.57,-0.71
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,6,0.53,-0.29
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,12,0.44,1.7
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,12,0.52,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,27,0.46,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,39,0.49,0.8
GH21_,Accomodation and food services,Legislators,87,0.5,0.97
GH21_,Accomodation and food services,Clerks,12,0.47,1.09
GH21_,Accomodation and food services,Service and sales workers,186,0.46,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),24,0.56,-0.6
II111,Road transport,Legislators,6,0.56,-0.57
II13_,"Postal, courier transport support and warehousing services",Clerks,21,0.5,-0.09
II13_,"Postal, courier transport support and warehousing services",Plant and machine operators and assemblers,9,0.53,-0.63
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),21,0.53,-0.61
JJ11_,Information media services,Technicians and associate professionals,15,0.42,1.92
KK1_,Other financial and insurance services,Technicians and associate professionals,27,0.44,1.57
KK1_,Other financial and insurance services,Clerks,9,0.42,1.81
KK110,Banking and financing; financial asset investing,Legislators,18,0.42,2.01
KK110,Banking and financing; financial asset investing,Professionals,15,0.41,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,15,0.41,1.86
KK110,Banking and financing; financial asset investing,Clerks,36,0.41,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,24,0.46,1.63
LL12_,Property operators and real estate services,Clerks,15,0.5,0.85
MN11_,"Professional, scientific and technical services",Professionals,96,0.41,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,42,0.41,1.99
MN11_,"Professional, scientific and technical services",Clerks,63,0.42,1.9
MN21_,Administrative and support services,Technicians and associate professionals,15,0.42,2
MN21_,Administrative and support services,Clerks,15,0.43,1.53
MN21_,Administrative and support services,Service and sales workers,9,0.46,1.59
MN21_,Administrative and support services,Elementary occupations (inc. residuals),57,0.56,-0.93
OO111,Local government administration,Professionals,9,0.51,0.85
OO21_,Public safety and defence,Service and sales workers,69,0.55,-0.29
OO211,Central government administration and justice,Legislators,6,0.46,0.63
OO211,Central government administration and justice,Professionals,15,0.45,0.68
OO211,Central government administration and justice,Clerks,9,0.48,0.18
PP11_,Education and training,Legislators,51,0.49,1.12
PP11_,Education and training,Professionals,300,0.54,0.34
PP11_,Education and training,Clerks,27,0.5,0.69
PP11_,Education and training,Service and sales workers,18,0.56,-0.29
QQ11_,Health care and social assistance,Legislators,45,0.56,-0.08
QQ11_,Health care and social assistance,Professionals,210,0.52,0.53
QQ11_,Health care and social assistance,Clerks,63,0.6,-1.07
RS11_,Arts and recreational services,Technicians and associate professionals,27,0.44,1.4
RS11_,Arts and recreational services,Clerks,6,0.46,1.25
RS219,"Religious services; civil, professional and other interest groups",Legislators,15,0.42,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,21,0.42,1.79
