ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,21,0.47,-0.66
AA211,Forestry and logging,Agriculture and fishery workers,12,0.48,-0.5
BB11_,Mining,Plant and machine operators and assemblers,6,0.48,-0.59
CC1_,Meat product manufacturing and seafood processing,Clerks,6,0.45,-1.07
CC1_,Meat product manufacturing and seafood processing,Trades workers,15,0.46,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,75,0.45,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),39,0.45,-0.97
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,6,0.47,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,45,0.51,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,24,0.49,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,78,0.5,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,42,0.47,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),63,0.47,-0.58
CC311,Wood product manufacturing,Plant and machine operators and assemblers,21,0.46,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),15,0.46,-0.99
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,27,0.47,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,84,0.48,-0.62
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,27,0.46,-0.85
CC711,Primary metal and metal product manufacturing,Plant and machine operators and assemblers,12,0.48,-0.68
CC721,Fabricated metal product manufacturing,Legislators,87,0.49,-0.35
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,33,0.48,-0.72
CC721,Fabricated metal product manufacturing,Clerks,36,0.49,-0.49
CC721,Fabricated metal product manufacturing,Trades workers,114,0.46,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,78,0.47,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),45,0.47,-0.93
CC811,Transport equipment manufacturing,Trades workers,42,0.48,-0.47
CC811,Transport equipment manufacturing,Plant and machine operators and assemblers,15,0.46,-1.06
CC821,Electronic and electrical equipment manufacturing,Legislators,48,0.52,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,33,0.51,0.42
CC821,Electronic and electrical equipment manufacturing,Clerks,21,0.48,-0.45
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,27,0.47,-0.66
CC822,Machinery manufacturing,Legislators,33,0.47,-0.67
CC822,Machinery manufacturing,Technicians and associate professionals,15,0.46,-1.04
CC822,Machinery manufacturing,Clerks,24,0.46,-1.07
CC822,Machinery manufacturing,Trades workers,48,0.45,-1.23
CC822,Machinery manufacturing,Plant and machine operators and assemblers,33,0.46,-0.85
CC91_,Furniture and other manufacturing,Legislators,36,0.52,0.72
CC91_,Furniture and other manufacturing,Trades workers,63,0.48,-0.25
CC91_,Furniture and other manufacturing,Plant and machine operators and assemblers,18,0.48,-0.37
CC91_,Furniture and other manufacturing,Elementary occupations (inc. residuals),21,0.5,0.13
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,45,0.48,-0.41
EE1_,Other construction,Professionals,108,0.49,-0.13
EE110,Residential building construction,Clerks,18,0.46,-0.45
EE110,Residential building construction,Elementary occupations (inc. residuals),48,0.46,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,219,0.54,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,144,0.52,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,90,0.51,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,81,0.48,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,69,0.46,-1.12
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),42,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,159,0.55,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,84,0.53,1.28
FF110,Other goods and commission based wholesaling,Service and sales workers,69,0.54,1.41
FF111,Basic material wholesaling,Legislators,99,0.51,0.38
FF111,Basic material wholesaling,Clerks,60,0.48,-0.44
FF111,Basic material wholesaling,Service and sales workers,24,0.47,-0.78
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,84,0.55,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,48,0.48,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Plant and machine operators and assemblers,27,0.46,-0.95
FF114,"Grocery, liquor and tobacco product wholesaling",Elementary occupations (inc. residuals),48,0.48,-0.42
GH111,Motor vehicle and parts retailing,Legislators,69,0.46,-1
GH111,Motor vehicle and parts retailing,Clerks,27,0.47,-0.79
GH111,Motor vehicle and parts retailing,Service and sales workers,60,0.47,-0.79
GH111,Motor vehicle and parts retailing,Trades workers,48,0.45,-1.12
GH112,Fuel retailing,Legislators,27,0.46,-1.06
GH112,Fuel retailing,Service and sales workers,39,0.45,-1.04
GH121,Supermarket and grocery stores,Clerks,300,0.45,-1.08
GH122,Specialised food retailing,Legislators,60,0.52,0.72
GH122,Specialised food retailing,Service and sales workers,66,0.5,0.7
GH122,Specialised food retailing,Trades workers,21,0.45,-0.89
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,132,0.54,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,75,0.55,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,75,0.49,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,36,0.52,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,216,0.53,1.27
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),27,0.49,-0.21
GH131,"Furniture, electrical and hardware retailing",Legislators,186,0.5,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,96,0.51,0.42
GH131,"Furniture, electrical and hardware retailing",Clerks,90,0.46,-0.99
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,228,0.47,-0.62
GH131,"Furniture, electrical and hardware retailing",Trades workers,36,0.45,-1.15
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,174,0.54,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,21,0.5,0.31
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,396,0.52,0.8
GH21_,Accomodation and food services,Legislators,489,0.51,0.97
GH21_,Accomodation and food services,Clerks,132,0.53,1.09
GH21_,Accomodation and food services,Service and sales workers,1248,0.53,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),174,0.47,-0.6
II123,Air and space transport,Technicians and associate professionals,33,0.51,0.71
II123,Air and space transport,Service and sales workers,21,0.53,1.33
II13_,"Postal, courier transport support and warehousing services",Plant and machine operators and assemblers,87,0.47,-0.63
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),210,0.47,-0.61
JJ11_,Information media services,Technicians and associate professionals,174,0.55,1.92
JJ11_,Information media services,Clerks,36,0.55,1.89
JJ11_,Information media services,Elementary occupations (inc. residuals),24,0.51,0.42
JJ120,Telecommunications services including internet service providers,Technicians and associate professionals,81,0.54,1.59
KK110,Banking and financing; financial asset investing,Legislators,279,0.55,2.01
LL12_,Property operators and real estate services,Technicians and associate professionals,204,0.54,1.63
