ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,21,0.55,-0.85
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,9,0.52,-0.6
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,9,0.48,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,9,0.51,-0.62
CC721,Fabricated metal product manufacturing,Legislators,9,0.52,-0.35
CC721,Fabricated metal product manufacturing,Trades workers,21,0.55,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,12,0.52,-0.71
CC811,Transport equipment manufacturing,Trades workers,9,0.53,-0.47
EE1_,Other construction,Legislators,39,0.52,-0.5
EE1_,Other construction,Professionals,15,0.52,-0.13
EE1_,Other construction,Technicians and associate professionals,33,0.54,-0.87
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,21,0.48,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,15,0.48,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,9,0.48,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),9,0.48,0.41
FF110,Other goods and commission based wholesaling,Legislators,15,0.46,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,15,0.47,1.28
FF111,Basic material wholesaling,Legislators,24,0.5,0.38
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,9,0.47,1.64
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,30,0.49,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,15,0.47,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,9,0.5,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,39,0.5,1.27
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,18,0.51,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,39,0.49,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,66,0.5,0.8
GH21_,Accomodation and food services,Clerks,24,0.5,1.09
II111,Road transport,Clerks,9,0.51,-0.55
II13_,"Postal, courier transport support and warehousing services",Clerks,33,0.48,-0.09
II13_,"Postal, courier transport support and warehousing services",Plant and machine operators and assemblers,9,0.5,-0.63
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),24,0.51,-0.61
JJ11_,Information media services,Technicians and associate professionals,30,0.45,1.92
JJ120,Telecommunications services including internet service providers,Professionals,6,0.44,1.92
KK1_,Other financial and insurance services,Legislators,12,0.46,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,36,0.46,1.57
KK1_,Other financial and insurance services,Clerks,15,0.45,1.81
KK110,Banking and financing; financial asset investing,Legislators,24,0.45,2.01
KK110,Banking and financing; financial asset investing,Professionals,18,0.44,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,15,0.44,1.86
KK110,Banking and financing; financial asset investing,Clerks,39,0.44,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,39,0.49,1.63
LL12_,Property operators and real estate services,Clerks,15,0.51,0.85
MN11_,"Professional, scientific and technical services",Professionals,165,0.45,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,69,0.45,1.99
MN11_,"Professional, scientific and technical services",Clerks,69,0.45,1.9
MN21_,Administrative and support services,Professionals,21,0.45,2.02
MN21_,Administrative and support services,Technicians and associate professionals,24,0.45,2
MN21_,Administrative and support services,Clerks,18,0.45,1.53
MN21_,Administrative and support services,Service and sales workers,21,0.48,1.59
OO21_,Public safety and defence,Clerks,15,0.48,0.25
OO21_,Public safety and defence,Service and sales workers,96,0.53,-0.29
OO211,Central government administration and justice,Legislators,12,0.47,0.63
OO211,Central government administration and justice,Professionals,27,0.46,0.68
OO211,Central government administration and justice,Technicians and associate professionals,36,0.49,-0.23
OO211,Central government administration and justice,Clerks,18,0.48,0.18
PP11_,Education and training,Clerks,33,0.51,0.69
RS11_,Arts and recreational services,Technicians and associate professionals,51,0.47,1.4
RS11_,Arts and recreational services,Clerks,9,0.48,1.25
RS11_,Arts and recreational services,Service and sales workers,12,0.49,1.1
RS219,"Religious services; civil, professional and other interest groups",Legislators,18,0.45,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,24,0.46,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,18,0.47,1.15
RS219,"Religious services; civil, professional and other interest groups",Clerks,15,0.46,1.03
