ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,9,0.46,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,6,0.49,0.42
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,9,0.47,1.51
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,21,0.5,0.8
II13_,"Postal, courier transport support and warehousing services",Clerks,9,0.49,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),9,0.53,-0.61
KK1_,Other financial and insurance services,Clerks,6,0.42,1.81
KK110,Banking and financing; financial asset investing,Legislators,9,0.42,2.01
KK110,Banking and financing; financial asset investing,Professionals,9,0.4,1.9
KK110,Banking and financing; financial asset investing,Clerks,15,0.4,1.7
MN11_,"Professional, scientific and technical services",Professionals,48,0.42,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,33,0.42,1.99
MN21_,Administrative and support services,Technicians and associate professionals,6,0.42,2
MN21_,Administrative and support services,Elementary occupations (inc. residuals),21,0.55,-0.93
OO21_,Public safety and defence,Service and sales workers,18,0.54,-0.29
OO211,Central government administration and justice,Technicians and associate professionals,9,0.5,-0.23
PP11_,Education and training,Legislators,9,0.48,1.12
PP11_,Education and training,Clerks,12,0.5,0.69
QQ11_,Health care and social assistance,Legislators,12,0.56,-0.08
QQ11_,Health care and social assistance,Professionals,60,0.52,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,33,0.6,-0.95
QQ11_,Health care and social assistance,Clerks,15,0.6,-1.07
