ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
EE1_,Other construction,Legislators,15,0.56,-0.5
FF110,Other goods and commission based wholesaling,Legislators,6,0.45,1.74
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,6,0.46,1.64
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,12,0.46,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,18,0.48,0.8
GH21_,Accomodation and food services,Legislators,24,0.48,0.97
GH21_,Accomodation and food services,Clerks,6,0.46,1.09
GH21_,Accomodation and food services,Service and sales workers,63,0.44,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),9,0.55,-0.6
II13_,"Postal, courier transport support and warehousing services",Clerks,9,0.52,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),9,0.55,-0.61
KK1_,Other financial and insurance services,Technicians and associate professionals,12,0.44,1.57
KK110,Banking and financing; financial asset investing,Legislators,9,0.43,2.01
LL12_,Property operators and real estate services,Technicians and associate professionals,12,0.47,1.63
MN11_,"Professional, scientific and technical services",Professionals,48,0.41,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,24,0.41,1.99
MN21_,Administrative and support services,Professionals,9,0.42,2.02
MN21_,Administrative and support services,Technicians and associate professionals,12,0.43,2
MN21_,Administrative and support services,Clerks,9,0.44,1.53
MN21_,Administrative and support services,Elementary occupations (inc. residuals),24,0.57,-0.93
OO21_,Public safety and defence,Service and sales workers,21,0.54,-0.29
OO211,Central government administration and justice,Technicians and associate professionals,6,0.49,-0.23
PP11_,Education and training,Professionals,126,0.52,0.34
PP11_,Education and training,Technicians and associate professionals,27,0.54,-0.3
PP11_,Education and training,Clerks,15,0.48,0.69
PP11_,Education and training,Elementary occupations (inc. residuals),12,0.57,-0.8
QQ11_,Health care and social assistance,Legislators,6,0.53,-0.08
QQ11_,Health care and social assistance,Professionals,72,0.5,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,36,0.58,-0.95
QQ11_,Health care and social assistance,Elementary occupations (inc. residuals),9,0.58,-1.16
RS219,"Religious services; civil, professional and other interest groups",Professionals,9,0.42,1.79
