ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA131,Dairy cattle farming,Agriculture and fishery workers,12,0.51,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,18,0.51,-0.97
BB11_,Mining,Plant and machine operators and assemblers,15,0.51,-0.59
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),48,0.5,-0.97
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,9,0.5,-0.26
CC311,Wood product manufacturing,Trades workers,33,0.5,-1.16
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),27,0.51,-0.99
CC411,Printing,Clerks,15,0.51,-0.02
CC411,Printing,Trades workers,33,0.49,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,33,0.51,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,12,0.51,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,12,0.51,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,15,0.51,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,33,0.51,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),24,0.5,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,18,0.5,-0.85
CC721,Fabricated metal product manufacturing,Legislators,51,0.52,-0.35
CC721,Fabricated metal product manufacturing,Clerks,15,0.52,-0.49
CC811,Transport equipment manufacturing,Trades workers,18,0.51,-0.47
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,27,0.51,0.42
CC821,Electronic and electrical equipment manufacturing,Clerks,15,0.51,-0.45
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,15,0.5,-0.66
CC821,Electronic and electrical equipment manufacturing,Elementary occupations (inc. residuals),15,0.51,-0.39
CC822,Machinery manufacturing,Legislators,33,0.52,-0.67
CC822,Machinery manufacturing,Clerks,12,0.51,-1.07
CC822,Machinery manufacturing,Plant and machine operators and assemblers,15,0.5,-0.85
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,15,0.51,-0.41
DD1_,"Electricity, gas, water and waste services",Plant and machine operators and assemblers,27,0.51,-1.05
EE1_,Other construction,Legislators,156,0.5,-0.5
EE1_,Other construction,Professionals,60,0.52,-0.13
EE1_,Other construction,Technicians and associate professionals,87,0.5,-0.87
EE1_,Other construction,Clerks,84,0.51,-0.99
EE1_,Other construction,Elementary occupations (inc. residuals),153,0.49,-0.96
EE110,Residential building construction,Clerks,18,0.49,-0.45
EE110,Residential building construction,Trades workers,264,0.49,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),27,0.49,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,81,0.52,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,42,0.51,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,33,0.51,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,36,0.52,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),27,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,51,0.51,1.74
