ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,42,0.5,-0.92
AA131,Dairy cattle farming,Agriculture and fishery workers,15,0.5,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,15,0.5,-0.97
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,42,0.51,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,18,0.5,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,48,0.49,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,45,0.5,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,42,0.5,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),48,0.5,-0.58
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,27,0.5,-0.26
CC411,Printing,Clerks,15,0.5,-0.02
CC411,Printing,Trades workers,27,0.49,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,36,0.51,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,21,0.51,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,15,0.5,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,15,0.5,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,36,0.5,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),36,0.5,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,18,0.49,-0.85
CC721,Fabricated metal product manufacturing,Legislators,42,0.52,-0.35
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,15,0.51,-0.72
CC721,Fabricated metal product manufacturing,Clerks,21,0.51,-0.49
CC721,Fabricated metal product manufacturing,Trades workers,69,0.5,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,27,0.5,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),18,0.5,-0.93
CC811,Transport equipment manufacturing,Plant and machine operators and assemblers,6,0.5,-1.06
CC821,Electronic and electrical equipment manufacturing,Legislators,9,0.52,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,15,0.51,0.42
CC822,Machinery manufacturing,Clerks,15,0.5,-1.07
CC822,Machinery manufacturing,Plant and machine operators and assemblers,27,0.49,-0.85
CC91_,Furniture and other manufacturing,Legislators,27,0.52,0.72
CC91_,Furniture and other manufacturing,Trades workers,42,0.5,-0.25
CC91_,Furniture and other manufacturing,Plant and machine operators and assemblers,15,0.5,-0.37
CC91_,Furniture and other manufacturing,Elementary occupations (inc. residuals),9,0.51,0.13
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,9,0.5,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,15,0.5,-0.75
DD1_,"Electricity, gas, water and waste services",Plant and machine operators and assemblers,27,0.5,-1.05
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),27,0.49,-1
EE1_,Other construction,Legislators,192,0.5,-0.5
EE1_,Other construction,Professionals,78,0.52,-0.13
EE1_,Other construction,Technicians and associate professionals,126,0.5,-0.87
EE1_,Other construction,Clerks,93,0.5,-0.99
EE1_,Other construction,Elementary occupations (inc. residuals),171,0.49,-0.96
EE110,Residential building construction,Elementary occupations (inc. residuals),42,0.49,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,120,0.52,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,78,0.51,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,48,0.51,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,57,0.51,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),15,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,75,0.52,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,45,0.52,1.28
FF110,Other goods and commission based wholesaling,Clerks,27,0.51,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,36,0.53,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),18,0.51,0.76
FF111,Basic material wholesaling,Legislators,78,0.52,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,45,0.51,-0.71
FF111,Basic material wholesaling,Clerks,27,0.5,-0.44
FF111,Basic material wholesaling,Service and sales workers,24,0.52,-0.78
FF111,Basic material wholesaling,Elementary occupations (inc. residuals),27,0.5,-0.63
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,27,0.52,0.83
GH112,Fuel retailing,Legislators,15,0.5,-1.06
GH122,Specialised food retailing,Legislators,51,0.52,0.72
GH122,Specialised food retailing,Service and sales workers,42,0.51,0.7
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,54,0.53,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,27,0.52,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,159,0.53,1.27
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,21,0.51,0.31
GH133,Department stores,Clerks,27,0.49,-1.01
GH21_,Accomodation and food services,Service and sales workers,915,0.51,1.4
II111,Road transport,Clerks,36,0.5,-0.55
II111,Road transport,Plant and machine operators and assemblers,234,0.49,-1.13
II123,Air and space transport,Service and sales workers,18,0.52,1.33
II13_,"Postal, courier transport support and warehousing services",Clerks,126,0.49,-0.09
JJ11_,Information media services,Technicians and associate professionals,84,0.5,1.92
JJ11_,Information media services,Clerks,24,0.51,1.89
JJ11_,Information media services,Elementary occupations (inc. residuals),21,0.52,0.42
JJ120,Telecommunications services including internet service providers,Legislators,9,0.5,2
JJ120,Telecommunications services including internet service providers,Professionals,21,0.49,1.92
JJ120,Telecommunications services including internet service providers,Technicians and associate professionals,12,0.51,1.59
JJ123,Library and other information services,Clerks,15,0.47,1.03
KK1_,Other financial and insurance services,Legislators,42,0.51,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,105,0.5,1.57
KK1_,Other financial and insurance services,Clerks,42,0.5,1.81
KK110,Banking and financing; financial asset investing,Legislators,93,0.52,2.01
KK110,Banking and financing; financial asset investing,Professionals,51,0.49,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,39,0.49,1.86
KK110,Banking and financing; financial asset investing,Clerks,129,0.49,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,150,0.53,1.63
MN11_,"Professional, scientific and technical services",Professionals,909,0.5,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,435,0.51,1.99
MN11_,"Professional, scientific and technical services",Clerks,354,0.5,1.9
MN21_,Administrative and support services,Professionals,63,0.51,2.02
MN21_,Administrative and support services,Technicians and associate professionals,99,0.52,2
MN21_,Administrative and support services,Clerks,81,0.5,1.53
OO21_,Public safety and defence,Clerks,36,0.46,0.25
OO21_,Public safety and defence,Service and sales workers,189,0.49,-0.29
