ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,36,0.51,-0.66
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,12,0.5,-0.61
CC1_,Meat product manufacturing and seafood processing,Trades workers,12,0.5,-0.77
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),57,0.5,-0.97
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,27,0.51,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,33,0.52,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,9,0.51,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,21,0.48,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,33,0.5,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,39,0.5,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),24,0.5,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,15,0.5,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,6,0.5,-0.26
CC411,Printing,Trades workers,9,0.49,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,9,0.51,-0.74
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,15,0.5,-0.85
CC821,Electronic and electrical equipment manufacturing,Legislators,27,0.52,0.88
CC91_,Furniture and other manufacturing,Legislators,18,0.52,0.72
CC91_,Furniture and other manufacturing,Trades workers,27,0.5,-0.25
CC91_,Furniture and other manufacturing,Elementary occupations (inc. residuals),12,0.51,0.13
EE1_,Other construction,Legislators,165,0.51,-0.5
EE110,Residential building construction,Elementary occupations (inc. residuals),33,0.5,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,99,0.52,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,63,0.52,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,30,0.51,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,51,0.52,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),15,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,60,0.51,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,45,0.51,1.28
FF110,Other goods and commission based wholesaling,Clerks,21,0.51,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,33,0.52,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),33,0.51,0.76
FF111,Basic material wholesaling,Legislators,63,0.52,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,36,0.52,-0.71
