ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,105,0.44,-0.66
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,63,0.42,-0.92
AA131,Dairy cattle farming,Agriculture and fishery workers,15,0.45,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,12,0.42,-0.97
AA211,Forestry and logging,Agriculture and fishery workers,18,0.44,-0.5
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,15,0.43,-0.61
BB11_,Mining,Plant and machine operators and assemblers,15,0.44,-0.59
CC1_,Meat product manufacturing and seafood processing,Clerks,12,0.41,-1.07
CC1_,Meat product manufacturing and seafood processing,Trades workers,15,0.42,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,21,0.41,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),12,0.41,-0.97
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,36,0.43,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,213,0.53,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,66,0.48,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,186,0.45,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,126,0.44,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),114,0.45,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,66,0.43,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,108,0.47,-0.26
CC311,Wood product manufacturing,Trades workers,114,0.4,-1.16
CC311,Wood product manufacturing,Plant and machine operators and assemblers,36,0.42,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),48,0.41,-0.99
CC321,"Pulp, paper and converted paper product manufacturing",Plant and machine operators and assemblers,21,0.43,-0.75
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,78,0.5,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,120,0.48,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,102,0.48,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,78,0.45,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,171,0.46,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),129,0.47,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,69,0.43,-0.85
CC711,Primary metal and metal product manufacturing,Plant and machine operators and assemblers,21,0.45,-0.68
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,102,0.46,-0.72
CC721,Fabricated metal product manufacturing,Trades workers,225,0.42,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,201,0.45,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),129,0.44,-0.93
CC811,Transport equipment manufacturing,Plant and machine operators and assemblers,54,0.43,-1.06
CC821,Electronic and electrical equipment manufacturing,Clerks,81,0.48,-0.45
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,60,0.45,-0.66
CC821,Electronic and electrical equipment manufacturing,Elementary occupations (inc. residuals),69,0.48,-0.39
CC822,Machinery manufacturing,Legislators,156,0.46,-0.67
CC822,Machinery manufacturing,Technicians and associate professionals,66,0.43,-1.04
