ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,21,0.58,-0.66
CC822,Machinery manufacturing,Legislators,6,0.58,-0.67
EE1_,Other construction,Professionals,12,0.54,-0.13
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,12,0.45,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,9,0.47,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,9,0.48,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,6,0.55,-0.44
FF110,Other goods and commission based wholesaling,Legislators,15,0.43,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,12,0.44,1.28
FF110,Other goods and commission based wholesaling,Clerks,6,0.45,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,6,0.45,1.41
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,6,0.53,-0.29
GH111,Motor vehicle and parts retailing,Service and sales workers,6,0.6,-0.79
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,9,0.44,1.7
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,9,0.51,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,18,0.46,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,24,0.48,0.8
GH21_,Accomodation and food services,Clerks,15,0.47,1.09
GH21_,Accomodation and food services,Service and sales workers,165,0.46,1.4
II13_,"Postal, courier transport support and warehousing services",Clerks,18,0.5,-0.09
JJ11_,Information media services,Technicians and associate professionals,18,0.41,1.92
KK1_,Other financial and insurance services,Technicians and associate professionals,12,0.43,1.57
KK110,Banking and financing; financial asset investing,Legislators,12,0.41,2.01
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,15,0.4,1.86
KK110,Banking and financing; financial asset investing,Clerks,21,0.4,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,27,0.46,1.63
LL12_,Property operators and real estate services,Clerks,9,0.5,0.85
MN11_,"Professional, scientific and technical services",Professionals,69,0.41,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,63,0.41,1.99
MN11_,"Professional, scientific and technical services",Clerks,57,0.41,1.9
MN21_,Administrative and support services,Technicians and associate professionals,9,0.41,2
MN21_,Administrative and support services,Clerks,12,0.41,1.53
MN21_,Administrative and support services,Elementary occupations (inc. residuals),27,0.56,-0.93
OO21_,Public safety and defence,Service and sales workers,27,0.54,-0.29
OO211,Central government administration and justice,Technicians and associate professionals,15,0.5,-0.23
PP11_,Education and training,Legislators,42,0.48,1.12
PP11_,Education and training,Professionals,201,0.53,0.34
PP11_,Education and training,Technicians and associate professionals,60,0.55,-0.3
PP11_,Education and training,Clerks,15,0.49,0.69
QQ11_,Health care and social assistance,Legislators,24,0.56,-0.08
QQ11_,Health care and social assistance,Professionals,144,0.52,0.53
QQ11_,Health care and social assistance,Clerks,42,0.6,-1.07
RS11_,Arts and recreational services,Technicians and associate professionals,27,0.43,1.4
RS11_,Arts and recreational services,Service and sales workers,9,0.46,1.1
RS219,"Religious services; civil, professional and other interest groups",Legislators,6,0.41,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,15,0.41,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,12,0.44,1.15
