ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,144,0.51,-0.66
AA211,Forestry and logging,Agriculture and fishery workers,12,0.52,-0.5
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,27,0.51,-0.61
BB11_,Mining,Plant and machine operators and assemblers,6,0.52,-0.59
CC1_,Meat product manufacturing and seafood processing,Clerks,15,0.5,-1.07
CC1_,Meat product manufacturing and seafood processing,Trades workers,21,0.5,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,153,0.51,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),42,0.5,-0.97
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,48,0.5,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,27,0.49,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,36,0.47,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,51,0.49,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),36,0.49,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,9,0.49,-0.6
CC311,Wood product manufacturing,Trades workers,42,0.5,-1.16
CC311,Wood product manufacturing,Plant and machine operators and assemblers,21,0.51,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),6,0.51,-0.99
CC411,Printing,Clerks,9,0.49,-0.02
CC411,Printing,Trades workers,27,0.47,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,60,0.49,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,24,0.5,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,15,0.51,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,69,0.49,-0.62
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,33,0.48,-0.85
CC711,Primary metal and metal product manufacturing,Plant and machine operators and assemblers,9,0.5,-0.68
CC721,Fabricated metal product manufacturing,Legislators,60,0.51,-0.35
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,27,0.51,-0.72
