ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,18,0.48,-0.66
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,24,0.49,-0.92
AA211,Forestry and logging,Agriculture and fishery workers,9,0.5,-0.5
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,15,0.49,-0.61
CC1_,Meat product manufacturing and seafood processing,Clerks,12,0.46,-1.07
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,24,0.49,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,27,0.49,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,27,0.47,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,27,0.47,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),39,0.47,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,15,0.47,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,6,0.47,-0.26
CC311,Wood product manufacturing,Trades workers,18,0.47,-1.16
CC321,"Pulp, paper and converted paper product manufacturing",Plant and machine operators and assemblers,9,0.48,-0.75
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,33,0.49,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,15,0.49,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,18,0.48,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,18,0.48,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,42,0.47,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),27,0.47,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,18,0.46,-0.85
CC721,Fabricated metal product manufacturing,Legislators,21,0.48,-0.35
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,9,0.48,-0.72
CC721,Fabricated metal product manufacturing,Clerks,15,0.48,-0.49
CC721,Fabricated metal product manufacturing,Trades workers,30,0.47,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,36,0.47,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),18,0.47,-0.93
CC811,Transport equipment manufacturing,Trades workers,12,0.48,-0.47
CC821,Electronic and electrical equipment manufacturing,Legislators,12,0.5,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,9,0.48,0.42
CC821,Electronic and electrical equipment manufacturing,Elementary occupations (inc. residuals),9,0.47,-0.39
CC822,Machinery manufacturing,Legislators,12,0.47,-0.67
CC822,Machinery manufacturing,Technicians and associate professionals,6,0.47,-1.04
CC822,Machinery manufacturing,Trades workers,15,0.46,-1.23
CC822,Machinery manufacturing,Plant and machine operators and assemblers,6,0.46,-0.85
CC91_,Furniture and other manufacturing,Legislators,12,0.5,0.72
CC91_,Furniture and other manufacturing,Trades workers,21,0.48,-0.25
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,21,0.5,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,9,0.48,-0.75
EE1_,Other construction,Professionals,42,0.48,-0.13
EE1_,Other construction,Technicians and associate professionals,81,0.47,-0.87
EE1_,Other construction,Clerks,69,0.47,-0.99
EE110,Residential building construction,Clerks,18,0.47,-0.45
EE113,Non-residential building construction,Trades workers,36,0.47,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,99,0.52,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,48,0.5,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,21,0.49,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,33,0.48,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,15,0.47,-1.12
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),15,0.49,0.41
FF110,Other goods and commission based wholesaling,Legislators,66,0.52,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,39,0.51,1.28
FF110,Other goods and commission based wholesaling,Clerks,33,0.5,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,33,0.52,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),18,0.5,0.76
FF111,Basic material wholesaling,Legislators,42,0.49,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,18,0.47,-0.71
FF111,Basic material wholesaling,Clerks,12,0.47,-0.44
FF111,Basic material wholesaling,Service and sales workers,9,0.48,-0.78
FF111,Basic material wholesaling,Plant and machine operators and assemblers,12,0.46,-0.88
FF111,Basic material wholesaling,Elementary occupations (inc. residuals),18,0.47,-0.63
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,42,0.53,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,21,0.5,-0.22
FF114,"Grocery, liquor and tobacco product wholesaling",Elementary occupations (inc. residuals),24,0.47,-0.42
GH111,Motor vehicle and parts retailing,Legislators,42,0.48,-1
GH111,Motor vehicle and parts retailing,Clerks,9,0.47,-0.79
GH111,Motor vehicle and parts retailing,Service and sales workers,27,0.49,-0.79
GH111,Motor vehicle and parts retailing,Trades workers,27,0.48,-1.12
GH111,Motor vehicle and parts retailing,Elementary occupations (inc. residuals),12,0.48,-1.16
GH112,Fuel retailing,Legislators,6,0.47,-1.06
GH112,Fuel retailing,Service and sales workers,18,0.48,-1.04
GH121,Supermarket and grocery stores,Clerks,135,0.47,-1.08
GH122,Specialised food retailing,Legislators,18,0.5,0.72
GH122,Specialised food retailing,Service and sales workers,15,0.5,0.7
GH122,Specialised food retailing,Trades workers,9,0.46,-0.89
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,60,0.53,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,27,0.53,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,39,0.49,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,18,0.51,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,105,0.52,1.27
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),12,0.49,-0.21
GH131,"Furniture, electrical and hardware retailing",Legislators,87,0.51,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,39,0.5,0.42
GH131,"Furniture, electrical and hardware retailing",Clerks,33,0.47,-0.99
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,135,0.49,-0.62
