ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA131,Dairy cattle farming,Agriculture and fishery workers,18,0.5,-0.47
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,15,0.49,-0.61
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,24,0.48,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),15,0.49,-0.97
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,18,0.49,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,18,0.52,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,15,0.52,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),21,0.52,-0.58
CC311,Wood product manufacturing,Plant and machine operators and assemblers,18,0.49,-0.84
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,15,0.53,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),15,0.53,-0.44
CC821,Electronic and electrical equipment manufacturing,Legislators,9,0.55,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,12,0.54,0.42
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,24,0.55,1.28
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),12,0.55,0.76
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,18,0.51,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,12,0.49,-0.22
GH111,Motor vehicle and parts retailing,Elementary occupations (inc. residuals),6,0.5,-1.16
GH121,Supermarket and grocery stores,Legislators,51,0.51,-0.79
GH121,Supermarket and grocery stores,Service and sales workers,96,0.46,-0.92
GH121,Supermarket and grocery stores,Elementary occupations (inc. residuals),12,0.48,-1.15
GH122,Specialised food retailing,Legislators,18,0.56,0.72
GH122,Specialised food retailing,Service and sales workers,15,0.5,0.7
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,36,0.55,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,21,0.54,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,21,0.54,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,51,0.54,1.27
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,24,0.55,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,81,0.51,0.8
GH133,Department stores,Clerks,12,0.49,-1.01
GH21_,Accomodation and food services,Legislators,132,0.48,0.97
GH21_,Accomodation and food services,Clerks,24,0.49,1.09
GH21_,Accomodation and food services,Service and sales workers,246,0.48,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),36,0.48,-0.6
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),39,0.52,-0.61
JJ11_,Information media services,Technicians and associate professionals,15,0.49,1.92
JJ120,Telecommunications services including internet service providers,Legislators,9,0.5,2
JJ120,Telecommunications services including internet service providers,Technicians and associate professionals,9,0.52,1.59
KK1_,Other financial and insurance services,Legislators,15,0.51,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,48,0.51,1.57
KK1_,Other financial and insurance services,Clerks,15,0.5,1.81
KK110,Banking and financing; financial asset investing,Legislators,60,0.52,2.01
KK110,Banking and financing; financial asset investing,Professionals,27,0.49,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,30,0.5,1.86
KK110,Banking and financing; financial asset investing,Clerks,54,0.51,1.7
MN11_,"Professional, scientific and technical services",Professionals,234,0.48,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,153,0.5,1.99
MN11_,"Professional, scientific and technical services",Clerks,138,0.49,1.9
MN21_,Administrative and support services,Professionals,27,0.51,2.02
MN21_,Administrative and support services,Technicians and associate professionals,42,0.52,2
MN21_,Administrative and support services,Service and sales workers,27,0.53,1.59
MN21_,Administrative and support services,Elementary occupations (inc. residuals),96,0.51,-0.93
OO111,Local government administration,Professionals,27,0.5,0.85
OO111,Local government administration,Clerks,12,0.49,-0.5
OO21_,Public safety and defence,Clerks,15,0.45,0.25
OO211,Central government administration and justice,Legislators,12,0.44,0.63
OO211,Central government administration and justice,Professionals,15,0.44,0.68
OO211,Central government administration and justice,Technicians and associate professionals,42,0.45,-0.23
OO211,Central government administration and justice,Clerks,18,0.44,0.18
PP11_,Education and training,Legislators,78,0.5,1.12
PP11_,Education and training,Clerks,48,0.49,0.69
PP11_,Education and training,Service and sales workers,27,0.49,-0.29
PP11_,Education and training,Elementary occupations (inc. residuals),51,0.48,-0.8
QQ11_,Health care and social assistance,Legislators,66,0.48,-0.08
QQ11_,Health care and social assistance,Professionals,309,0.49,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,147,0.49,-0.95
QQ11_,Health care and social assistance,Clerks,102,0.49,-1.07
QQ11_,Health care and social assistance,Service and sales workers,240,0.49,-1.19
QQ11_,Health care and social assistance,Elementary occupations (inc. residuals),18,0.49,-1.16
RS11_,Arts and recreational services,Technicians and associate professionals,60,0.46,1.4
RS11_,Arts and recreational services,Clerks,21,0.48,1.25
RS11_,Arts and recreational services,Service and sales workers,9,0.48,1.1
RS210,Personal services; domestic household staff,Plant and machine operators and assemblers,9,0.5,-0.88
RS219,"Religious services; civil, professional and other interest groups",Legislators,12,0.46,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,24,0.49,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,18,0.48,1.15
RS219,"Religious services; civil, professional and other interest groups",Clerks,15,0.45,1.03
