ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,9,0.44,-0.66
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,9,0.44,-0.92
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,9,0.51,0.47
CC311,Wood product manufacturing,Trades workers,9,0.42,-1.16
CC721,Fabricated metal product manufacturing,Trades workers,9,0.4,-1.14
EE1_,Other construction,Legislators,36,0.43,-0.5
EE1_,Other construction,Professionals,18,0.47,-0.13
EE1_,Other construction,Clerks,15,0.4,-0.99
EE1_,Other construction,Elementary occupations (inc. residuals),27,0.41,-0.96
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,12,0.53,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,9,0.42,-0.44
FF110,Other goods and commission based wholesaling,Service and sales workers,6,0.55,1.41
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,15,0.59,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,6,0.47,-0.29
GH112,Fuel retailing,Service and sales workers,6,0.44,-1.04
GH121,Supermarket and grocery stores,Clerks,39,0.43,-1.08
GH131,"Furniture, electrical and hardware retailing",Legislators,21,0.5,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,15,0.49,0.42
GH131,"Furniture, electrical and hardware retailing",Clerks,12,0.4,-0.99
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,39,0.44,-0.62
GH131,"Furniture, electrical and hardware retailing",Elementary occupations (inc. residuals),6,0.42,-0.58
GH133,Department stores,Service and sales workers,24,0.4,-1.08
II111,Road transport,Clerks,9,0.42,-0.55
II111,Road transport,Elementary occupations (inc. residuals),15,0.4,-1.06
II123,Air and space transport,Service and sales workers,6,0.59,1.33
II13_,"Postal, courier transport support and warehousing services",Clerks,15,0.44,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),21,0.42,-0.61
KK1_,Other financial and insurance services,Legislators,6,0.59,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,18,0.56,1.57
KK110,Banking and financing; financial asset investing,Legislators,33,0.6,2.01
KK110,Banking and financing; financial asset investing,Professionals,12,0.59,1.9
KK110,Banking and financing; financial asset investing,Clerks,36,0.56,1.7
MN11_,"Professional, scientific and technical services",Professionals,198,0.61,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,87,0.61,1.99
MN11_,"Professional, scientific and technical services",Clerks,60,0.59,1.9
MN21_,Administrative and support services,Professionals,21,0.61,2.02
OO111,Local government administration,Technicians and associate professionals,12,0.45,-0.64
OO21_,Public safety and defence,Service and sales workers,57,0.43,-0.29
OO211,Central government administration and justice,Technicians and associate professionals,12,0.44,-0.23
PP11_,Education and training,Legislators,36,0.56,1.12
PP11_,Education and training,Professionals,162,0.53,0.34
PP11_,Education and training,Technicians and associate professionals,45,0.46,-0.3
PP11_,Education and training,Clerks,12,0.55,0.69
PP11_,Education and training,Service and sales workers,15,0.47,-0.29
PP11_,Education and training,Elementary occupations (inc. residuals),9,0.45,-0.8
QQ11_,Health care and social assistance,Legislators,27,0.5,-0.08
QQ11_,Health care and social assistance,Professionals,87,0.55,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,57,0.44,-0.95
QQ11_,Health care and social assistance,Clerks,18,0.42,-1.07
QQ11_,Health care and social assistance,Service and sales workers,63,0.41,-1.19
QQ11_,Health care and social assistance,Elementary occupations (inc. residuals),9,0.41,-1.16
RS211,Repair and maintenance,Trades workers,45,0.39,-1.09
RS219,"Religious services; civil, professional and other interest groups",Legislators,9,0.57,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,9,0.58,1.79
RS219,"Religious services; civil, professional and other interest groups",Clerks,9,0.53,1.03
