ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,24,0.53,-0.66
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,24,0.53,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),15,0.53,-0.97
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,6,0.53,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,12,0.51,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),12,0.53,-0.58
CC411,Printing,Trades workers,6,0.52,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,6,0.52,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,12,0.54,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),9,0.53,-0.44
CC721,Fabricated metal product manufacturing,Trades workers,18,0.55,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,9,0.54,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),6,0.55,-0.93
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),6,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,15,0.49,1.74
FF110,Other goods and commission based wholesaling,Clerks,12,0.51,1.04
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,9,0.48,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,6,0.53,-0.29
GH111,Motor vehicle and parts retailing,Service and sales workers,9,0.56,-0.79
GH122,Specialised food retailing,Legislators,9,0.52,0.72
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,21,0.5,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,12,0.48,1.7
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,21,0.48,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,51,0.51,0.8
GH21_,Accomodation and food services,Legislators,63,0.48,0.97
GH21_,Accomodation and food services,Clerks,12,0.46,1.09
GH21_,Accomodation and food services,Service and sales workers,156,0.46,1.4
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),15,0.52,-0.6
II111,Road transport,Legislators,9,0.54,-0.57
II111,Road transport,Elementary occupations (inc. residuals),9,0.55,-1.06
II13_,"Postal, courier transport support and warehousing services",Clerks,27,0.51,-0.09
II13_,"Postal, courier transport support and warehousing services",Plant and machine operators and assemblers,9,0.51,-0.63
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),24,0.53,-0.61
JJ11_,Information media services,Technicians and associate professionals,12,0.44,1.92
JJ120,Telecommunications services including internet service providers,Professionals,12,0.44,1.92
JJ120,Telecommunications services including internet service providers,Technicians and associate professionals,12,0.48,1.59
KK1_,Other financial and insurance services,Legislators,21,0.47,1.91
KK1_,Other financial and insurance services,Clerks,9,0.46,1.81
KK110,Banking and financing; financial asset investing,Legislators,21,0.46,2.01
KK110,Banking and financing; financial asset investing,Professionals,12,0.43,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,9,0.44,1.86
KK110,Banking and financing; financial asset investing,Clerks,45,0.45,1.7
MN11_,"Professional, scientific and technical services",Professionals,129,0.44,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,84,0.45,1.99
MN21_,Administrative and support services,Professionals,15,0.45,2.02
MN21_,Administrative and support services,Technicians and associate professionals,24,0.46,2
MN21_,Administrative and support services,Clerks,21,0.46,1.53
MN21_,Administrative and support services,Service and sales workers,15,0.49,1.59
OO21_,Public safety and defence,Service and sales workers,63,0.53,-0.29
OO211,Central government administration and justice,Professionals,12,0.44,0.68
OO211,Central government administration and justice,Technicians and associate professionals,36,0.47,-0.23
OO211,Central government administration and justice,Clerks,9,0.46,0.18
PP11_,Education and training,Legislators,51,0.48,1.12
PP11_,Education and training,Professionals,306,0.5,0.34
PP11_,Education and training,Technicians and associate professionals,69,0.51,-0.3
PP11_,Education and training,Clerks,27,0.48,0.69
PP11_,Education and training,Service and sales workers,15,0.51,-0.29
PP11_,Education and training,Elementary occupations (inc. residuals),27,0.53,-0.8
QQ11_,Health care and social assistance,Legislators,42,0.52,-0.08
QQ11_,Health care and social assistance,Professionals,174,0.49,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,114,0.55,-0.95
RS11_,Arts and recreational services,Technicians and associate professionals,48,0.44,1.4
RS11_,Arts and recreational services,Clerks,9,0.48,1.25
RS11_,Arts and recreational services,Service and sales workers,6,0.47,1.1
RS219,"Religious services; civil, professional and other interest groups",Legislators,6,0.43,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,21,0.44,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,15,0.46,1.15
RS219,"Religious services; civil, professional and other interest groups",Clerks,9,0.44,1.03
