ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,408,0.48,-0.66
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,120,0.46,-0.92
AA131,Dairy cattle farming,Agriculture and fishery workers,39,0.47,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,69,0.46,-0.97
AA211,Forestry and logging,Agriculture and fishery workers,15,0.46,-0.5
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,54,0.46,-0.61
BB11_,Mining,Plant and machine operators and assemblers,42,0.47,-0.59
CC1_,Meat product manufacturing and seafood processing,Trades workers,87,0.46,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,351,0.46,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),327,0.46,-0.97
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,162,0.47,-0.83
CC311,Wood product manufacturing,Trades workers,207,0.46,-1.16
CC311,Wood product manufacturing,Plant and machine operators and assemblers,159,0.47,-0.84
CC311,Wood product manufacturing,Elementary occupations (inc. residuals),144,0.46,-0.99
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,144,0.48,-0.41
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),153,0.46,-1
EE1_,Other construction,Trades workers,2613,0.46,-0.93
EE1_,Other construction,Plant and machine operators and assemblers,1404,0.47,-1.12
EE110,Residential building construction,Clerks,102,0.47,-0.45
EE110,Residential building construction,Trades workers,1332,0.46,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),228,0.47,-0.44
EE113,Non-residential building construction,Trades workers,219,0.45,-1.04
GH111,Motor vehicle and parts retailing,Legislators,279,0.47,-1
GH111,Motor vehicle and parts retailing,Service and sales workers,219,0.49,-0.79
GH111,Motor vehicle and parts retailing,Trades workers,204,0.46,-1.12
GH112,Fuel retailing,Service and sales workers,87,0.45,-1.04
GH121,Supermarket and grocery stores,Clerks,903,0.44,-1.08
GH121,Supermarket and grocery stores,Service and sales workers,897,0.43,-0.92
GH122,Specialised food retailing,Service and sales workers,249,0.5,0.7
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,621,0.56,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,354,0.53,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,888,0.56,1.27
GH131,"Furniture, electrical and hardware retailing",Legislators,597,0.52,0.29
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,759,0.46,-0.62
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,741,0.54,1.61
