ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,27,0.51,-0.66
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,9,0.51,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,12,0.48,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,6,0.49,-0.61
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),12,0.49,-0.93
CC811,Transport equipment manufacturing,Trades workers,12,0.5,-0.47
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,6,0.5,0.42
CC822,Machinery manufacturing,Trades workers,18,0.5,-1.23
CC91_,Furniture and other manufacturing,Legislators,9,0.51,0.72
CC91_,Furniture and other manufacturing,Trades workers,12,0.48,-0.25
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,24,0.51,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,18,0.5,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,12,0.49,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,15,0.5,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,18,0.49,-1.12
FF110,Other goods and commission based wholesaling,Legislators,27,0.52,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,12,0.5,1.28
FF110,Other goods and commission based wholesaling,Clerks,15,0.5,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,12,0.51,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),6,0.5,0.76
FF111,Basic material wholesaling,Legislators,24,0.51,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,15,0.5,-0.71
FF111,Basic material wholesaling,Clerks,9,0.49,-0.44
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,12,0.52,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,12,0.51,-0.22
GH111,Motor vehicle and parts retailing,Clerks,6,0.5,-0.79
GH121,Supermarket and grocery stores,Clerks,66,0.5,-1.08
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,12,0.52,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),9,0.5,-0.21
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,21,0.52,0.42
GH131,"Furniture, electrical and hardware retailing",Clerks,12,0.5,-0.99
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,6,0.49,0.31
II123,Air and space transport,Technicians and associate professionals,15,0.49,0.71
II13_,"Postal, courier transport support and warehousing services",Clerks,36,0.48,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),33,0.48,-0.61
JJ11_,Information media services,Technicians and associate professionals,18,0.51,1.92
KK1_,Other financial and insurance services,Legislators,9,0.51,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,30,0.5,1.57
KK1_,Other financial and insurance services,Clerks,9,0.5,1.81
KK110,Banking and financing; financial asset investing,Legislators,24,0.51,2.01
KK110,Banking and financing; financial asset investing,Professionals,15,0.49,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,15,0.49,1.86
KK110,Banking and financing; financial asset investing,Clerks,30,0.49,1.7
MN11_,"Professional, scientific and technical services",Professionals,276,0.5,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,120,0.51,1.99
MN11_,"Professional, scientific and technical services",Clerks,126,0.5,1.9
MN21_,Administrative and support services,Professionals,12,0.51,2.02
MN21_,Administrative and support services,Technicians and associate professionals,39,0.51,2
MN21_,Administrative and support services,Clerks,15,0.49,1.53
OO21_,Public safety and defence,Clerks,12,0.46,0.25
OO211,Central government administration and justice,Technicians and associate professionals,21,0.47,-0.23
OO211,Central government administration and justice,Clerks,12,0.47,0.18
OO211,Central government administration and justice,Service and sales workers,6,0.48,-0.24
PP11_,Education and training,Legislators,75,0.52,1.12
PP11_,Education and training,Professionals,435,0.53,0.34
PP11_,Education and training,Technicians and associate professionals,111,0.5,-0.3
PP11_,Education and training,Clerks,33,0.52,0.69
PP11_,Education and training,Service and sales workers,21,0.51,-0.29
PP11_,Education and training,Elementary occupations (inc. residuals),27,0.51,-0.8
QQ11_,Health care and social assistance,Legislators,48,0.52,-0.08
QQ11_,Health care and social assistance,Professionals,234,0.53,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,138,0.51,-0.95
QQ11_,Health care and social assistance,Clerks,66,0.51,-1.07
QQ11_,Health care and social assistance,Service and sales workers,228,0.5,-1.19
QQ11_,Health care and social assistance,Elementary occupations (inc. residuals),27,0.5,-1.16
RS11_,Arts and recreational services,Clerks,12,0.51,1.25
RS219,"Religious services; civil, professional and other interest groups",Legislators,24,0.48,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,27,0.5,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,21,0.5,1.15
RS219,"Religious services; civil, professional and other interest groups",Clerks,9,0.48,1.03
