ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,69,0.5,-0.92
AA131,Dairy cattle farming,Agriculture and fishery workers,84,0.51,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,36,0.5,-0.97
AA211,Forestry and logging,Agriculture and fishery workers,24,0.5,-0.5
BB11_,Mining,Plant and machine operators and assemblers,24,0.5,-0.59
CC1_,Meat product manufacturing and seafood processing,Clerks,21,0.5,-1.07
CC1_,Meat product manufacturing and seafood processing,Trades workers,24,0.49,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,153,0.49,-0.85
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,24,0.5,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,84,0.5,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,108,0.5,-0.61
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,21,0.49,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,30,0.5,-0.26
CC311,Wood product manufacturing,Plant and machine operators and assemblers,66,0.5,-0.84
CC321,"Pulp, paper and converted paper product manufacturing",Plant and machine operators and assemblers,15,0.5,-0.75
CC411,Printing,Clerks,18,0.51,-0.02
CC411,Printing,Trades workers,60,0.49,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,51,0.51,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,27,0.51,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,72,0.51,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),66,0.5,-0.44
CC711,Primary metal and metal product manufacturing,Plant and machine operators and assemblers,12,0.5,-0.68
CC721,Fabricated metal product manufacturing,Clerks,39,0.52,-0.49
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,105,0.51,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),60,0.51,-0.93
CC821,Electronic and electrical equipment manufacturing,Legislators,36,0.53,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,36,0.52,0.42
CC821,Electronic and electrical equipment manufacturing,Clerks,12,0.51,-0.45
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,36,0.5,-0.66
CC821,Electronic and electrical equipment manufacturing,Elementary occupations (inc. residuals),12,0.51,-0.39
CC91_,Furniture and other manufacturing,Trades workers,81,0.51,-0.25
CC91_,Furniture and other manufacturing,Plant and machine operators and assemblers,21,0.5,-0.37
CC91_,Furniture and other manufacturing,Elementary occupations (inc. residuals),21,0.52,0.13
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,36,0.51,-0.41
EE110,Residential building construction,Elementary occupations (inc. residuals),81,0.49,-0.44
EE113,Non-residential building construction,Trades workers,81,0.49,-1.04
