ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
EE1_,Other construction,Legislators,15,0.54,-0.5
EE1_,Other construction,Professionals,6,0.52,-0.13
EE1_,Other construction,Technicians and associate professionals,9,0.56,-0.87
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,9,0.44,1.3
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,9,0.46,1.51
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,9,0.46,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,12,0.45,0.8
GH21_,Accomodation and food services,Clerks,6,0.47,1.09
GH21_,Accomodation and food services,Service and sales workers,42,0.45,1.4
KK110,Banking and financing; financial asset investing,Clerks,12,0.39,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,12,0.46,1.63
MN11_,"Professional, scientific and technical services",Professionals,36,0.4,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,21,0.4,1.99
MN11_,"Professional, scientific and technical services",Clerks,24,0.41,1.9
MN21_,Administrative and support services,Technicians and associate professionals,12,0.4,2
OO21_,Public safety and defence,Service and sales workers,15,0.55,-0.29
OO211,Central government administration and justice,Technicians and associate professionals,9,0.5,-0.23
PP11_,Education and training,Professionals,93,0.54,0.34
PP11_,Education and training,Clerks,12,0.48,0.69
QQ11_,Health care and social assistance,Professionals,69,0.52,0.53
QQ11_,Health care and social assistance,Technicians and associate professionals,39,0.61,-0.95
QQ11_,Health care and social assistance,Clerks,18,0.6,-1.07
RS11_,Arts and recreational services,Technicians and associate professionals,9,0.43,1.4
