ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,9,0.55,-0.66
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,9,0.56,-0.85
EE1_,Other construction,Technicians and associate professionals,6,0.54,-0.87
EE1_,Other construction,Trades workers,39,0.54,-0.93
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,12,0.46,1.3
GH21_,Accomodation and food services,Service and sales workers,69,0.51,1.4
II111,Road transport,Plant and machine operators and assemblers,15,0.53,-1.13
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),9,0.49,-0.61
JJ11_,Information media services,Technicians and associate professionals,9,0.45,1.92
KK1_,Other financial and insurance services,Technicians and associate professionals,6,0.46,1.57
KK110,Banking and financing; financial asset investing,Legislators,9,0.45,2.01
LL12_,Property operators and real estate services,Technicians and associate professionals,12,0.49,1.63
MN11_,"Professional, scientific and technical services",Professionals,51,0.45,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,27,0.45,1.99
MN11_,"Professional, scientific and technical services",Clerks,27,0.45,1.9
OO21_,Public safety and defence,Service and sales workers,24,0.54,-0.29
OO211,Central government administration and justice,Technicians and associate professionals,9,0.5,-0.23
PP11_,Education and training,Legislators,18,0.53,1.12
RS11_,Arts and recreational services,Technicians and associate professionals,15,0.47,1.4
