ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,18,0.55,-0.66
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,21,0.54,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,15,0.54,-0.56
CC311,Wood product manufacturing,Plant and machine operators and assemblers,9,0.55,-0.84
CC411,Printing,Clerks,6,0.52,-0.02
CC411,Printing,Trades workers,15,0.5,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,15,0.51,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,9,0.52,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,9,0.54,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),15,0.53,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,12,0.54,-0.85
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,27,0.55,-0.71
CC811,Transport equipment manufacturing,Trades workers,9,0.54,-0.47
EE113,Non-residential building construction,Trades workers,21,0.55,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,51,0.49,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,33,0.5,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,15,0.51,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),15,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,24,0.47,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,21,0.48,1.28
FF110,Other goods and commission based wholesaling,Clerks,9,0.49,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,15,0.49,1.41
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,18,0.48,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,15,0.5,0.83
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,12,0.53,-0.29
GH122,Specialised food retailing,Legislators,18,0.51,0.72
GH122,Specialised food retailing,Service and sales workers,12,0.5,0.7
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,36,0.49,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,18,0.47,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,9,0.52,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,63,0.5,1.27
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,27,0.53,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,6,0.51,0.31
GH21_,Accomodation and food services,Clerks,27,0.47,1.09
GH21_,Accomodation and food services,Service and sales workers,384,0.46,1.4
JJ11_,Information media services,Technicians and associate professionals,45,0.44,1.92
JJ120,Telecommunications services including internet service providers,Legislators,9,0.44,2
JJ120,Telecommunications services including internet service providers,Professionals,9,0.42,1.92
