ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,6,0.48,-0.66
AA211,Forestry and logging,Agriculture and fishery workers,6,0.49,-0.5
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,6,0.48,-0.61
BB11_,Mining,Plant and machine operators and assemblers,6,0.49,-0.59
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,24,0.47,-0.85
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,15,0.5,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,18,0.49,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,21,0.49,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,15,0.48,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),12,0.48,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,15,0.48,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,9,0.49,-0.26
CC311,Wood product manufacturing,Trades workers,21,0.47,-1.16
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,9,0.5,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,18,0.5,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,24,0.49,-0.62
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,15,0.48,-0.85
CC721,Fabricated metal product manufacturing,Legislators,33,0.5,-0.35
CC721,Fabricated metal product manufacturing,Clerks,15,0.5,-0.49
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,27,0.49,-0.71
CC811,Transport equipment manufacturing,Trades workers,15,0.5,-0.47
CC821,Electronic and electrical equipment manufacturing,Legislators,18,0.52,0.88
CC821,Electronic and electrical equipment manufacturing,Clerks,6,0.49,-0.45
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,15,0.48,-0.66
CC822,Machinery manufacturing,Plant and machine operators and assemblers,12,0.47,-0.85
CC91_,Furniture and other manufacturing,Legislators,12,0.52,0.72
CC91_,Furniture and other manufacturing,Trades workers,24,0.5,-0.25
CC91_,Furniture and other manufacturing,Elementary occupations (inc. residuals),9,0.51,0.13
EE1_,Other construction,Professionals,45,0.5,-0.13
EE1_,Other construction,Clerks,60,0.49,-0.99
EE1_,Other construction,Elementary occupations (inc. residuals),102,0.47,-0.96
EE110,Residential building construction,Clerks,12,0.48,-0.45
EE110,Residential building construction,Trades workers,195,0.48,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),24,0.48,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,78,0.53,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,48,0.52,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,36,0.51,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,36,0.5,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,24,0.48,-1.12
