ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,57,0.55,-0.66
CC131,Dairy product manufacturing,Plant and machine operators and assemblers,6,0.55,-0.83
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,21,0.5,0.47
CC411,Printing,Trades workers,21,0.48,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,18,0.48,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,9,0.5,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,12,0.51,-0.62
CC721,Fabricated metal product manufacturing,Clerks,12,0.52,-0.49
CC721,Fabricated metal product manufacturing,Trades workers,36,0.55,-1.14
CC821,Electronic and electrical equipment manufacturing,Legislators,9,0.48,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,9,0.48,0.42
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,9,0.51,-0.66
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,12,0.55,-0.41
DD1_,"Electricity, gas, water and waste services",Plant and machine operators and assemblers,15,0.55,-1.05
EE1_,Other construction,Legislators,96,0.53,-0.5
EE1_,Other construction,Professionals,39,0.52,-0.13
EE1_,Other construction,Technicians and associate professionals,54,0.54,-0.87
EE110,Residential building construction,Clerks,9,0.52,-0.45
EE110,Residential building construction,Trades workers,153,0.52,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),15,0.51,-0.44
EE113,Non-residential building construction,Trades workers,24,0.55,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,36,0.47,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,27,0.48,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,24,0.48,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,27,0.53,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,18,0.55,-1.12
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),12,0.48,0.41
FF110,Other goods and commission based wholesaling,Legislators,30,0.45,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,12,0.46,1.28
FF110,Other goods and commission based wholesaling,Clerks,18,0.46,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,21,0.47,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),15,0.47,0.76
FF111,Basic material wholesaling,Legislators,27,0.5,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,15,0.54,-0.71
FF111,Basic material wholesaling,Clerks,15,0.51,-0.44
FF111,Basic material wholesaling,Service and sales workers,6,0.56,-0.78
FF111,Basic material wholesaling,Plant and machine operators and assemblers,9,0.53,-0.88
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,15,0.47,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,6,0.52,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,18,0.54,-0.22
FF114,"Grocery, liquor and tobacco product wholesaling",Elementary occupations (inc. residuals),12,0.52,-0.42
GH122,Specialised food retailing,Legislators,27,0.49,0.72
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,48,0.49,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,21,0.46,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,33,0.54,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,9,0.5,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,75,0.49,1.27
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,27,0.51,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,69,0.48,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,9,0.48,0.31
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,87,0.5,0.8
GH21_,Accomodation and food services,Legislators,177,0.51,0.97
GH21_,Accomodation and food services,Clerks,39,0.49,1.09
GH21_,Accomodation and food services,Service and sales workers,471,0.48,1.4
II111,Road transport,Legislators,15,0.53,-0.57
II111,Road transport,Clerks,15,0.51,-0.55
II111,Road transport,Plant and machine operators and assemblers,132,0.54,-1.13
II111,Road transport,Elementary occupations (inc. residuals),21,0.53,-1.06
II13_,"Postal, courier transport support and warehousing services",Clerks,60,0.49,-0.09
II13_,"Postal, courier transport support and warehousing services",Plant and machine operators and assemblers,21,0.51,-0.63
JJ11_,Information media services,Technicians and associate professionals,42,0.45,1.92
JJ11_,Information media services,Clerks,9,0.45,1.89
JJ123,Library and other information services,Clerks,9,0.46,1.03
KK1_,Other financial and insurance services,Legislators,18,0.45,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,51,0.46,1.57
KK1_,Other financial and insurance services,Clerks,21,0.45,1.81
