ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA111,Horticulture and fruit growing,Agriculture and fishery workers,42,0.42,-0.66
AA121,"Sheep, beef cattle and grain farming",Agriculture and fishery workers,33,0.4,-0.92
AA131,Dairy cattle farming,Agriculture and fishery workers,18,0.45,-0.47
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,9,0.4,-0.97
AA320,"Agriculture, forestry and fishing support services",Agriculture and fishery workers,15,0.42,-0.61
CC1_,Meat product manufacturing and seafood processing,Clerks,15,0.37,-1.07
CC1_,Meat product manufacturing and seafood processing,Trades workers,18,0.4,-0.77
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,69,0.4,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),33,0.38,-0.97
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,105,0.49,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Clerks,39,0.43,-0.25
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,69,0.39,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,48,0.4,-0.61
CC141,"Fruit, oil, cereal and other food product manufacturing",Elementary occupations (inc. residuals),48,0.4,-0.58
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,27,0.4,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,24,0.41,-0.26
CC311,Wood product manufacturing,Trades workers,42,0.36,-1.16
CC311,Wood product manufacturing,Plant and machine operators and assemblers,9,0.4,-0.84
CC411,Printing,Clerks,39,0.43,-0.02
CC411,Printing,Trades workers,135,0.45,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,120,0.47,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Professionals,69,0.48,0.21
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Technicians and associate professionals,42,0.42,-0.35
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,42,0.42,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Trades workers,12,0.39,-0.74
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Plant and machine operators and assemblers,33,0.39,-0.62
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),36,0.4,-0.44
CC611,Non-metallic mineral product manufacturing,Plant and machine operators and assemblers,15,0.36,-0.85
CC721,Fabricated metal product manufacturing,Legislators,42,0.41,-0.35
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,36,0.38,-0.72
CC721,Fabricated metal product manufacturing,Clerks,21,0.4,-0.49
CC721,Fabricated metal product manufacturing,Trades workers,60,0.36,-1.14
CC721,Fabricated metal product manufacturing,Plant and machine operators and assemblers,45,0.39,-0.71
CC721,Fabricated metal product manufacturing,Elementary occupations (inc. residuals),33,0.37,-0.93
CC811,Transport equipment manufacturing,Trades workers,42,0.4,-0.47
CC811,Transport equipment manufacturing,Plant and machine operators and assemblers,12,0.36,-1.06
CC821,Electronic and electrical equipment manufacturing,Legislators,39,0.51,0.88
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,51,0.47,0.42
CC821,Electronic and electrical equipment manufacturing,Clerks,12,0.4,-0.45
CC821,Electronic and electrical equipment manufacturing,Plant and machine operators and assemblers,9,0.38,-0.66
CC821,Electronic and electrical equipment manufacturing,Elementary occupations (inc. residuals),15,0.41,-0.39
CC822,Machinery manufacturing,Legislators,15,0.38,-0.67
CC822,Machinery manufacturing,Technicians and associate professionals,18,0.36,-1.04
CC822,Machinery manufacturing,Clerks,9,0.35,-1.07
CC822,Machinery manufacturing,Trades workers,24,0.35,-1.23
CC822,Machinery manufacturing,Plant and machine operators and assemblers,12,0.37,-0.85
CC91_,Furniture and other manufacturing,Legislators,54,0.49,0.72
CC91_,Furniture and other manufacturing,Trades workers,114,0.41,-0.25
CC91_,Furniture and other manufacturing,Plant and machine operators and assemblers,21,0.4,-0.37
CC91_,Furniture and other manufacturing,Elementary occupations (inc. residuals),24,0.43,0.13
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,84,0.46,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,63,0.42,-0.75
DD1_,"Electricity, gas, water and waste services",Plant and machine operators and assemblers,42,0.38,-1.05
DD1_,"Electricity, gas, water and waste services",Elementary occupations (inc. residuals),54,0.38,-1
EE1_,Other construction,Legislators,366,0.39,-0.5
EE1_,Other construction,Professionals,123,0.42,-0.13
EE1_,Other construction,Technicians and associate professionals,258,0.37,-0.87
EE1_,Other construction,Clerks,123,0.36,-0.99
EE1_,Other construction,Trades workers,1221,0.37,-0.93
EE1_,Other construction,Plant and machine operators and assemblers,273,0.35,-1.12
EE1_,Other construction,Elementary occupations (inc. residuals),276,0.36,-0.96
EE110,Residential building construction,Clerks,39,0.41,-0.45
EE110,Residential building construction,Trades workers,807,0.4,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),105,0.41,-0.44
EE113,Non-residential building construction,Trades workers,111,0.37,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,327,0.55,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,192,0.49,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,87,0.47,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Service and sales workers,108,0.4,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Trades workers,57,0.36,-1.12
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),57,0.47,0.41
FF110,Other goods and commission based wholesaling,Legislators,363,0.59,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,189,0.54,1.28
FF110,Other goods and commission based wholesaling,Clerks,123,0.52,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,120,0.56,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),57,0.5,0.76
FF111,Basic material wholesaling,Legislators,93,0.45,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,42,0.37,-0.71
FF111,Basic material wholesaling,Clerks,33,0.39,-0.44
FF111,Basic material wholesaling,Service and sales workers,24,0.38,-0.78
FF111,Basic material wholesaling,Plant and machine operators and assemblers,18,0.37,-0.88
FF111,Basic material wholesaling,Elementary occupations (inc. residuals),15,0.38,-0.63
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,153,0.6,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,108,0.54,0.83
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,78,0.43,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,126,0.46,-0.22
FF114,"Grocery, liquor and tobacco product wholesaling",Plant and machine operators and assemblers,36,0.38,-0.95
FF114,"Grocery, liquor and tobacco product wholesaling",Elementary occupations (inc. residuals),39,0.41,-0.42
GH111,Motor vehicle and parts retailing,Legislators,114,0.38,-1
GH111,Motor vehicle and parts retailing,Clerks,15,0.37,-0.79
GH111,Motor vehicle and parts retailing,Service and sales workers,81,0.39,-0.79
GH111,Motor vehicle and parts retailing,Trades workers,93,0.37,-1.12
GH111,Motor vehicle and parts retailing,Elementary occupations (inc. residuals),36,0.37,-1.16
GH112,Fuel retailing,Legislators,36,0.36,-1.06
GH112,Fuel retailing,Service and sales workers,45,0.39,-1.04
GH121,Supermarket and grocery stores,Legislators,360,0.4,-0.79
GH121,Supermarket and grocery stores,Clerks,639,0.38,-1.08
GH121,Supermarket and grocery stores,Service and sales workers,813,0.4,-0.92
GH121,Supermarket and grocery stores,Elementary occupations (inc. residuals),81,0.36,-1.15
GH122,Specialised food retailing,Legislators,132,0.5,0.72
GH122,Specialised food retailing,Service and sales workers,180,0.52,0.7
GH122,Specialised food retailing,Trades workers,27,0.37,-0.89
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,300,0.58,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,195,0.61,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,114,0.43,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,57,0.49,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,480,0.55,1.27
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),42,0.42,-0.21
GH131,"Furniture, electrical and hardware retailing",Legislators,273,0.47,0.29
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,162,0.46,0.42
GH131,"Furniture, electrical and hardware retailing",Clerks,105,0.36,-0.99
GH131,"Furniture, electrical and hardware retailing",Service and sales workers,471,0.41,-0.62
GH131,"Furniture, electrical and hardware retailing",Trades workers,33,0.35,-1.15
GH131,"Furniture, electrical and hardware retailing",Elementary occupations (inc. residuals),60,0.39,-0.58
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,501,0.61,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,57,0.46,0.31
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,912,0.54,0.8
GH133,Department stores,Clerks,99,0.37,-1.01
GH133,Department stores,Service and sales workers,360,0.37,-1.08
GH21_,Accomodation and food services,Elementary occupations (inc. residuals),444,0.43,-0.6
II111,Road transport,Legislators,60,0.4,-0.57
II111,Road transport,Clerks,39,0.39,-0.55
II111,Road transport,Plant and machine operators and assemblers,507,0.36,-1.13
II111,Road transport,Elementary occupations (inc. residuals),75,0.36,-1.06
II123,Air and space transport,Technicians and associate professionals,171,0.5,0.71
II123,Air and space transport,Service and sales workers,93,0.56,1.33
II13_,"Postal, courier transport support and warehousing services",Clerks,354,0.44,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),261,0.39,-0.61
JJ11_,Information media services,Elementary occupations (inc. residuals),66,0.51,0.42
