ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
AA141,"Poultry, deer and other livestock farming",Agriculture and fishery workers,15,0.54,-0.97
CC1_,Meat product manufacturing and seafood processing,Plant and machine operators and assemblers,18,0.53,-0.85
CC1_,Meat product manufacturing and seafood processing,Elementary occupations (inc. residuals),15,0.52,-0.97
CC141,"Fruit, oil, cereal and other food product manufacturing",Legislators,9,0.5,0.47
CC141,"Fruit, oil, cereal and other food product manufacturing",Service and sales workers,15,0.47,0.65
CC141,"Fruit, oil, cereal and other food product manufacturing",Trades workers,24,0.5,-0.56
CC141,"Fruit, oil, cereal and other food product manufacturing",Plant and machine operators and assemblers,18,0.51,-0.61
CC211,Textile and leather manufacturing,Plant and machine operators and assemblers,9,0.51,-0.6
CC212,"Clothing, knitted products and footwear manufacturing",Plant and machine operators and assemblers,9,0.5,-0.26
CC411,Printing,Trades workers,18,0.48,0.2
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Legislators,24,0.49,0.41
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Clerks,15,0.5,-0.22
CC5_,"Petroleum, chemical, polymer and rubber product manufacturing",Elementary occupations (inc. residuals),18,0.5,-0.44
CC721,Fabricated metal product manufacturing,Technicians and associate professionals,12,0.53,-0.72
CC721,Fabricated metal product manufacturing,Clerks,12,0.52,-0.49
CC821,Electronic and electrical equipment manufacturing,Technicians and associate professionals,12,0.49,0.42
CC822,Machinery manufacturing,Technicians and associate professionals,12,0.53,-1.04
CC822,Machinery manufacturing,Plant and machine operators and assemblers,18,0.51,-0.85
CC91_,Furniture and other manufacturing,Legislators,9,0.49,0.72
CC91_,Furniture and other manufacturing,Trades workers,27,0.5,-0.25
EE1_,Other construction,Legislators,114,0.52,-0.5
EE1_,Other construction,Professionals,51,0.52,-0.13
EE113,Non-residential building construction,Trades workers,27,0.53,-1.04
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,57,0.49,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,39,0.49,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,36,0.49,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),12,0.49,0.41
FF110,Other goods and commission based wholesaling,Legislators,27,0.48,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,21,0.48,1.28
FF110,Other goods and commission based wholesaling,Clerks,12,0.48,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,21,0.49,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),12,0.48,0.76
FF111,Basic material wholesaling,Legislators,45,0.51,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,27,0.53,-0.71
FF111,Basic material wholesaling,Clerks,27,0.51,-0.44
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,21,0.49,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,27,0.52,-0.29
FF114,"Grocery, liquor and tobacco product wholesaling",Service and sales workers,21,0.52,-0.22
GH122,Specialised food retailing,Service and sales workers,24,0.5,0.7
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,66,0.5,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,33,0.48,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,102,0.5,1.27
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,87,0.5,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,153,0.51,0.8
GH21_,Accomodation and food services,Legislators,219,0.51,0.97
GH21_,Accomodation and food services,Clerks,42,0.5,1.09
GH21_,Accomodation and food services,Service and sales workers,513,0.49,1.4
II123,Air and space transport,Technicians and associate professionals,15,0.47,0.71
II13_,"Postal, courier transport support and warehousing services",Clerks,75,0.49,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),81,0.5,-0.61
JJ11_,Information media services,Technicians and associate professionals,36,0.46,1.92
JJ11_,Information media services,Clerks,9,0.47,1.89
JJ11_,Information media services,Elementary occupations (inc. residuals),15,0.53,0.42
JJ120,Telecommunications services including internet service providers,Legislators,9,0.46,2
JJ120,Telecommunications services including internet service providers,Professionals,9,0.45,1.92
JJ120,Telecommunications services including internet service providers,Clerks,12,0.46,1.09
KK1_,Other financial and insurance services,Legislators,21,0.47,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,90,0.48,1.57
KK1_,Other financial and insurance services,Clerks,24,0.46,1.81
KK110,Banking and financing; financial asset investing,Legislators,75,0.47,2.01
KK110,Banking and financing; financial asset investing,Professionals,33,0.45,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,33,0.45,1.86
KK110,Banking and financing; financial asset investing,Clerks,72,0.45,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,93,0.5,1.63
LL12_,Property operators and real estate services,Clerks,36,0.51,0.85
MN11_,"Professional, scientific and technical services",Professionals,489,0.46,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,204,0.47,1.99
MN21_,Administrative and support services,Professionals,33,0.47,2.02
MN21_,Administrative and support services,Technicians and associate professionals,63,0.47,2
MN21_,Administrative and support services,Service and sales workers,42,0.5,1.59
OO21_,Public safety and defence,Clerks,30,0.47,0.25
OO211,Central government administration and justice,Legislators,42,0.47,0.63
OO211,Central government administration and justice,Professionals,84,0.46,0.68
OO211,Central government administration and justice,Clerks,66,0.48,0.18
PP11_,Education and training,Technicians and associate professionals,225,0.53,-0.3
PP11_,Education and training,Clerks,105,0.51,0.69
RS11_,Arts and recreational services,Technicians and associate professionals,93,0.47,1.4
RS11_,Arts and recreational services,Clerks,24,0.49,1.25
RS11_,Arts and recreational services,Service and sales workers,12,0.49,1.1
RS11_,Arts and recreational services,Agriculture and fishery workers,15,0.54,-0.77
RS219,"Religious services; civil, professional and other interest groups",Legislators,39,0.46,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,69,0.47,1.79
