ua_name,size 1981,size 1986,size 1991,size 1996,size 2001,size 2006,size 2013
Central Auckland Zone,129429,136896,124854,144315,160935,187641,198603
Christchurch,126714,133062,124662,143397,152742,176325,173631
Southern Auckland Zone,91974,108609,99825,113184,125328,149748,154890
Northern Auckland Zone,68439,80313,81636,94956,104640,123930,131112
Wellington Zone,77145,79944,74526,81063,86853,98268,102024
Western Auckland Zone,52749,62295,61254,69789,75237,85851,88545
Hamilton Zone,48621,52968,49734,56967,61671,72207,76125
Tauranga,21426,26118,25488,31905,38481,48666,51288
Dunedin,46683,46164,40833,45099,46125,51267,49746
Lower Hutt Zone,43899,45264,40356,41421,43080,46386,44664
Palmerston North,29886,30207,28413,31773,32271,36375,34977
Nelson,17481,19536,18933,22200,23934,27393,28137
Hastings Zone,23091,24453,21912,22911,23622,26802,26259
Napier Zone,21138,22764,19809,22143,23004,26013,25197
New Plymouth,18339,20892,18408,19962,19440,22812,24234
Invercargill,24030,23475,20283,21054,19986,22140,22323
Porirua Zone,17244,19551,17259,16935,19224,20748,21834
Rotorua,19581,22263,18429,20670,21072,22722,20943
Whangarei,15573,19218,15195,16266,17067,19398,18012
Upper Hutt Zone,16539,17010,15411,15342,15510,17217,17322
Kapiti,7071,8601,9681,10821,12855,15174,15966
Wanganui,15675,16215,13677,14160,14487,15438,14406
Blenheim,8736,9696,9249,11037,12069,14010,13644
Gisborne,12810,13275,10449,11313,11595,12765,12477
Cambridge Zone,3639,4584,4653,5220,5835,6933,8028
Te Awamutu Zone,4467,4803,4266,4914,5277,6186,6123
