ua_name,size 1981,size 1986,size 1991,size 1996,size 2001,size 2006,size 2013
Gore,4878,4566,3909,4248,4140,4182,3933
Motueka,1953,2169,2034,2223,2583,2778,2694
Morrinsville,1740,1989,1833,1965,2145,2421,2571
Matamata,1674,1971,1818,1953,2145,2202,2436
Te Puke Community,1773,2106,1623,1686,1968,2409,2334
Thames,2316,2289,2175,2346,2253,2316,2094
Stratford,1884,1905,1443,1653,1569,1677,1857
Huntly,2253,2541,1551,1419,1644,1746,1611
Dannevirke,1878,2025,1770,1656,1689,1845,1515
Balclutha,1830,1716,1467,1521,1563,1542,1473
