ua_name,size 1981,size 1986,size 1991,size 1996,size 2001,size 2006,size 2013
Timaru,11676,11991,10101,10770,10884,12096,12267
Pukekohe,5034,5820,5700,6294,7476,9687,10953
Taupo,5982,7221,6789,8046,8616,9939,9783
Ashburton,5844,6210,5784,6432,6951,7863,8652
Masterton,7881,7914,6672,7197,7470,8208,8262
Whakatane,5466,6042,5475,6087,6771,7248,6954
Queenstown,1434,2178,2589,4188,4848,6159,6705
Rangiora,2544,3018,2997,3906,4413,5022,6555
Levin,6585,7146,6489,6360,6441,6732,6363
Feilding,4584,4926,4791,5355,5160,5790,6042
Oamaru,5319,5226,4575,4749,4644,5094,5040
Hawera,4395,4389,4062,4467,4446,4428,4647
Greymouth,4524,4650,3672,3876,3834,4431,4071
Tokoroa,7680,7551,5559,4758,4644,4218,3696
