
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="Full",="Comp acts",="Simp acts",="Other acts",="Comp UAs",="Simp UAs",="Other UAs"

="LS_acy_L1_dm",="-0.266***",="-0.291***",="-0.260***",="-1.586***",="-0.585**",="-0.458***",="-0.344***"
="",="(0.044)",="(0.079)",="(0.063)",="(0.180)",="(0.179)",="(0.068)",="(0.060)"

="RD_acy_L1_std",="0.059",="-0.178*",="-0.664***",="-0.271***",="0.033",="0.211*",="-0.094"
="",="(0.032)",="(0.072)",="(0.076)",="(0.065)",="(0.061)",="(0.095)",="(0.066)"

="LSxC_ay",="-0.137*",="0.062",="-0.423**",="-1.086***",="0.234",="-0.397***",="-0.060"
="",="(0.060)",="(0.056)",="(0.143)",="(0.317)",="(0.140)",="(0.108)",="(0.085)"

="RDxC_ay",="0.030",="-0.112",="-0.047",="0.050",="-0.047",="-0.163",="0.065"
="",="(0.040)",="(0.064)",="(0.044)",="(0.060)",="(0.072)",="(0.089)",="(0.072)"

="LSxC_cy",="-0.084***",="-0.152***",="0.008",="-0.309**",="-0.115***",="-0.035",="0.017"
="",="(0.023)",="(0.026)",="(0.053)",="(0.095)",="(0.032)",="(0.038)",="(0.027)"

="RDxC_cy",="-0.142***",="-0.063",="0.272**",="0.116*",="0.097**",="-0.067",="0.098***"
="",="(0.026)",="(0.045)",="(0.089)",="(0.051)",="(0.031)",="(0.051)",="(0.030)"

="_cons",="-0.779",="-0.884**",="0.806",="-0.693",="0.656***",="-1.195**",="1.062*"
="",="(0.399)",="(0.300)",="(0.499)",="(0.369)",="(0.097)",="(0.382)",="(0.422)"

="cy FEs ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="ay FEs",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Obs",="21352.000",="6399.000",="10750.000",="4203.000",="5275.000",="8216.000",="7861.000"
="r2",="0.719",="0.783",="0.623",="0.830",="0.836",="0.603",="0.727"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
