
="",="(1)",="(2)",="(3)"
="",="G_acy",="G_acy",="G_acy"

="LS_acy_L1_dm",="-0.060",="-0.079",="-0.266***"
="",="(0.038)",="(0.048)",="(0.044)"

="RD_acy_L1_std",="-0.209***",="-0.131*",="0.059"
="",="(0.063)",="(0.059)",="(0.032)"

="C_ay_L1_std",="0.887***",="0.975***",=""
="",="(0.062)",="(0.068)",=""

="LSxC_ay",="0.189***",="0.204***",="-0.137*"
="",="(0.043)",="(0.043)",="(0.060)"

="RDxC_ay",="0.076",="0.035",="0.030"
="",="(0.053)",="(0.057)",="(0.040)"

="C_cy_L1_std",="",="0.288***",=""
="",="",="(0.058)",=""

="LSxC_cy",="",="-0.085*",="-0.084***"
="",="",="(0.041)",="(0.023)"

="RDxC_cy",="",="-0.362***",="-0.142***"
="",="",="(0.053)",="(0.026)"

="_cons",="0.163**",="0.103",="-0.779"
="",="(0.060)",="(0.063)",="(0.399)"

="cy FEs ",="No",="No",="Yes"

="ay FEs",="",="",="Yes"
="Obs",="21352.000",="21352.000",="21352.000"
="r2",="0.047",="0.057",="0.719"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
