
="",="(1)",="(2)",="(3)"
="",="Full",="L.RCA = 1",="L.RCA = 0"

="LS_acy_L1_dm",="-0.266***",="-0.326***",="-1.851***"
="",="(0.044)",="(0.050)",="(0.524)"

="RD_acy_L1_std",="0.059",="0.236***",="0.258***"
="",="(0.032)",="(0.057)",="(0.066)"

="LSxC_ay",="-0.137*",="-0.144*",="0.289"
="",="(0.060)",="(0.060)",="(0.565)"

="RDxC_ay",="0.030",="0.052",="-0.268***"
="",="(0.040)",="(0.057)",="(0.072)"

="LSxC_cy",="-0.084***",="-0.149***",="-0.068"
="",="(0.023)",="(0.026)",="(0.041)"

="RDxC_cy",="-0.142***",="-0.208***",="-0.242***"
="",="(0.026)",="(0.047)",="(0.035)"

="_cons",="-0.779",="-1.359**",="-0.587"
="",="(0.399)",="(0.492)",="(0.361)"

="cy FEs ",="Yes",="Yes",="Yes"

="ay FEs",="Yes",="Yes",="Yes"
="Obs",="21352.000",="10963.000",="10389.000"
="r2",="0.719",="0.755",="0.774"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
