
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Full",="AKL",="Main eAKL",="Sec",="Minor"

="LS_acy_L1_dm",="-0.266***",="-0.816**",="-0.343***",="-0.208*",="-0.411***"
="",="(0.044)",="(0.256)",="(0.084)",="(0.094)",="(0.105)"

="RD_acy_L1_std",="0.059",="0.127",="0.074",="0.154",="0.405"
="",="(0.032)",="(0.081)",="(0.043)",="(0.128)",="(0.325)"

="LSxC_ay",="-0.137*",="0.377*",="-0.068",="0.012",="-0.074"
="",="(0.060)",="(0.147)",="(0.087)",="(0.139)",="(0.160)"

="RDxC_ay",="0.030",="-0.127",="0.082",="0.009",="-0.314"
="",="(0.040)",="(0.095)",="(0.054)",="(0.128)",="(0.310)"

="LSxC_cy",="-0.084***",="0.008",="-0.026",="-0.022",="-0.023"
="",="(0.023)",="(0.053)",="(0.031)",="(0.045)",="(0.039)"

="RDxC_cy",="-0.142***",="0.178***",="0.011",="-0.036",="-0.232*"
="",="(0.026)",="(0.036)",="(0.044)",="(0.056)",="(0.107)"

="_cons",="-0.779",="1.113***",="0.161",="2.027***",="-2.376***"
="",="(0.399)",="(0.089)",="(0.259)",="(0.212)",="(0.457)"

="cy FEs ",="Yes",="Yes",="Yes",="Yes",="Yes"

="ay FEs",="Yes",="Yes",="Yes",="Yes",="Yes"
="Obs",="21352.000",="2388.000",="11901.000",="5128.000",="1935.000"
="r2",="0.719",="0.921",="0.732",="0.592",="0.618"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
